stage_index,operator,layer,resource,service_s,normalized_service,dominant
1,RMSNORM,0,ARRAY,0.0,0.0,False
1,RMSNORM,0,MAC,0.0,0.0,False
1,RMSNORM,0,LOCAL_FABRIC,0.0,0.0,False
1,RMSNORM,0,INTER_REGION_NOC,0.0,0.0,False
1,RMSNORM,0,EXTERNAL_BOUNDARY,0.0,0.0,False
1,RMSNORM,0,GPU_COMPUTE,5.12e-09,1.0,True
2,Q,0,ARRAY,2.5626331808233507e-06,1.0,True
2,Q,0,MAC,1.792e-06,0.699280729450419,False
2,Q,0,LOCAL_FABRIC,1.9311635132163863e-06,0.7535856195368239,False
2,Q,0,INTER_REGION_NOC,2.67e-07,0.10418970689914166,False
2,Q,0,EXTERNAL_BOUNDARY,7.773883615938291e-07,0.30335530165267793,False
2,Q,0,GPU_COMPUTE,0.0,0.0,False
3,K,0,ARRAY,2.5626331808233507e-06,1.0,True
3,K,0,MAC,2.56e-07,0.09989724706434557,False
3,K,0,LOCAL_FABRIC,1.0408411180499099e-06,0.4061607903303184,False
3,K,0,INTER_REGION_NOC,0.0,0.0,False
3,K,0,EXTERNAL_BOUNDARY,7.75888361593829e-07,0.30276996622066027,False
3,K,0,GPU_COMPUTE,0.0,0.0,False
4,V,0,ARRAY,2.5626331808233507e-06,1.0,True
4,V,0,MAC,2.56e-07,0.09989724706434557,False
4,V,0,LOCAL_FABRIC,7.77964043679012e-07,0.3035799464007015,False
4,V,0,INTER_REGION_NOC,2.91e-07,0.11355507381142406,False
4,V,0,EXTERNAL_BOUNDARY,7.764893876559039e-07,0.30300450078712593,False
4,V,0,GPU_COMPUTE,0.0,0.0,False
5,ROPE,0,ARRAY,0.0,0.0,False
5,ROPE,0,MAC,0.0,0.0,False
5,ROPE,0,LOCAL_FABRIC,0.0,0.0,False
5,ROPE,0,INTER_REGION_NOC,0.0,0.0,False
5,ROPE,0,EXTERNAL_BOUNDARY,0.0,0.0,False
5,ROPE,0,GPU_COMPUTE,4.266666666666667e-09,1.0,True
6,KV_APPEND,0,ARRAY,8.008228690072971e-08,1.0,True
6,KV_APPEND,0,MAC,0.0,0.0,False
6,KV_APPEND,0,LOCAL_FABRIC,0.0,0.0,False
6,KV_APPEND,0,INTER_REGION_NOC,0.0,0.0,False
6,KV_APPEND,0,EXTERNAL_BOUNDARY,3.036195780600168e-08,0.37913450003792315,False
6,KV_APPEND,0,GPU_COMPUTE,0.0,0.0,False
7,KV_APPEND,0,ARRAY,8.008228690072971e-08,1.0,True
7,KV_APPEND,0,MAC,0.0,0.0,False
7,KV_APPEND,0,LOCAL_FABRIC,0.0,0.0,False
7,KV_APPEND,0,INTER_REGION_NOC,0.0,0.0,False
