iteration_index,metric,value
0,relative_residual,0.0720367057347886
1,relative_residual,0.13261881581841242
2,relative_residual,0.18038796011156813
3,relative_residual,0.16229050030715678
4,relative_residual,0.15212177147049577
5,relative_residual,0.16859812365136734
6,relative_residual,0.12361572357404135
7,relative_residual,0.1526873670516794
8,relative_residual,0.1178877990384146
9,relative_residual,0.07408757306549685
10,relative_residual,0.08537673303670107
11,relative_residual,0.05768440125134114
12,relative_residual,0.08271267037431954
13,relative_residual,0.11774081873844937
14,relative_residual,0.08006226369988059
15,relative_residual,0.06691537581361175
16,relative_residual,0.04730383708380085
17,relative_residual,0.048730155751349785
18,relative_residual,0.044086254449868315
19,relative_residual,0.033494373910416916
20,relative_residual,0.023332806112312126
21,relative_residual,0.026903508480233942
22,relative_residual,0.035692698641827336
23,relative_residual,0.03201715988286228
24,relative_residual,0.041066486432722586
25,relative_residual,0.04974145190264657
26,relative_residual,0.05269090557754413
27,relative_residual,0.04450266781234733
28,relative_residual,0.03632171619896567
29,relative_residual,0.05186433557498491
30,relative_residual,0.048362102291174595
31,relative_residual,0.04778156672211515
32,relative_residual,0.04349731461006719
33,relative_residual,0.03509394148462811
34,relative_residual,0.03396438714718551
35,relative_residual,0.03295908689948057
36,relative_residual,0.030104430136312064
37,relative_residual,0.026910447918643998
38,relative_residual,0.02459319316833836
39,relative_residual,0.0237583367517071
40,relative_residual,0.024372628566453777
41,relative_residual,0.024134327969962104
42,relative_residual,0.0200985729444232
43,relative_residual,0.020020456652365046
44,relative_residual,0.022546929010004945
45,relative_residual,0.021278555832727523
46,relative_residual,0.019742431636000528
47,relative_residual,0.015499359212098746
48,relative_residual,0.013560874474900736
49,relative_residual,0.013863317734020449
50,relative_residual,0.010612802804835224
51,relative_residual,0.010416817579354564
52,relative_residual,0.008208957088725977
53,relative_residual,0.007860834635880937
54,relative_residual,0.006624020001967555
55,relative_residual,0.006956640460717586
56,relative_residual,0.0062966037379478
57,relative_residual,0.004521174107358923
58,relative_residual,0.00452128447938737
59,relative_residual,0.004655226509229469
60,relative_residual,0.0043855645056916776
61,relative_residual,0.004198706108071918
62,relative_residual,0.004001878741890702
63,relative_residual,0.004087578956953854
64,relative_residual,0.003735167672769804
65,relative_residual,0.0038866002328704816
66,relative_residual,0.003160825851106384
67,relative_residual,0.0028718535153548197
68,relative_residual,0.0030557694227461496
69,relative_residual,0.003006604643450634
70,relative_residual,0.0023221565126151757
71,relative_residual,0.0022476515748922348
72,relative_residual,0.002029644647574672
73,relative_residual,0.0015490563637187075
74,relative_residual,0.0013189604269945047
75,relative_residual,0.0011029394768546866
76,relative_residual,0.0008234530679551782
77,relative_residual,0.0007204218637767105
78,relative_residual,0.0006697514457442267
79,relative_residual,0.0006502455893104444
80,relative_residual,0.0005042728459935561
81,relative_residual,0.0004555374305339111
82,relative_residual,0.00040009721377032233
83,relative_residual,0.00032884233338146765
84,relative_residual,0.00031305996789162885
85,relative_residual,0.0003018658464792928
86,relative_residual,0.0002472098036400606
87,relative_residual,0.00021997503791915522
88,relative_residual,0.00019539469523241005
89,relative_residual,0.00015167387131957336
90,relative_residual,0.00012886443614069712
91,relative_residual,0.00010365823025022494
92,relative_residual,8.053535292290141e-05
93,relative_residual,6.65567070232843e-05
94,relative_residual,6.156792543311493e-05
95,relative_residual,4.761883489267818e-05
96,relative_residual,4.404907973310106e-05
97,relative_residual,4.2099161497102676e-05
98,relative_residual,3.813780484215836e-05
99,relative_residual,3.61331278056583e-05
100,relative_residual,3.7691860115650546e-05
101,relative_residual,3.6917194709879566e-05
102,relative_residual,3.4936807470070055e-05
103,relative_residual,3.348228377377951e-05
104,relative_residual,3.0217234187273698e-05
105,relative_residual,2.8824110884632047e-05
106,relative_residual,2.900948175670025e-05
107,relative_residual,2.6304956706835e-05
108,relative_residual,2.8141499267861232e-05
109,relative_residual,3.024467068059818e-05
110,relative_residual,3.098286262604849e-05
111,relative_residual,2.7904690804249045e-05
112,relative_residual,2.665678000789123e-05
113,relative_residual,2.5981293241432897e-05
114,relative_residual,2.2915675365239777e-05
115,relative_residual,2.7392561661286942e-05
116,relative_residual,2.8061532054899736e-05
117,relative_residual,2.7877898014543458e-05
118,relative_residual,2.517615123365279e-05
119,relative_residual,2.3428321795146218e-05
120,relative_residual,2.070436541467339e-05
121,relative_residual,1.9989522167723317e-05
122,relative_residual,1.6771421060714828e-05
123,relative_residual,1.4162491509091137e-05
124,relative_residual,1.279153293431669e-05
125,relative_residual,1.0849309428431981e-05
126,relative_residual,9.770736160752396e-06
127,relative_residual,8.444891199943408e-06
128,relative_residual,8.992175735264712e-06
129,relative_residual,8.156767249042177e-06
130,relative_residual,8.197075556478393e-06
131,relative_residual,7.0265217542604935e-06
132,relative_residual,5.7368432697432155e-06
133,relative_residual,5.091960802125148e-06
134,relative_residual,4.589782359819734e-06
