iteration_index,metric,value
0,relative_residual,0.05196363810572942
1,relative_residual,0.12776560786502128
2,relative_residual,0.10493082287106233
3,relative_residual,0.060760310270035096
4,relative_residual,0.07108295733234495
5,relative_residual,0.057531664834886184
6,relative_residual,0.04709757055696505
7,relative_residual,0.07297120353053564
8,relative_residual,0.04866637868948133
9,relative_residual,0.030531514249067897
10,relative_residual,0.021789913561480845
11,relative_residual,0.026158519976005507
12,relative_residual,0.027196224105186663
13,relative_residual,0.03797735339730604
14,relative_residual,0.03486816924631363
15,relative_residual,0.042811506259430615
16,relative_residual,0.05366131924002622
17,relative_residual,0.05485483077113148
18,relative_residual,0.05397869298868113
19,relative_residual,0.06471732341618702
20,relative_residual,0.06910324147614202
21,relative_residual,0.0825318189861493
22,relative_residual,0.05628717442852301
23,relative_residual,0.04290826564443221
24,relative_residual,0.03621202943370918
25,relative_residual,0.03606002411364232
26,relative_residual,0.02704195821369453
27,relative_residual,0.023526011975849605
28,relative_residual,0.019397179698697763
29,relative_residual,0.022151719177900507
30,relative_residual,0.022852959227358083
31,relative_residual,0.023810176273555236
32,relative_residual,0.017970289686466186
33,relative_residual,0.013997728177206644
34,relative_residual,0.012225418348843907
35,relative_residual,0.012165427495914797
36,relative_residual,0.010440742649628382
37,relative_residual,0.008212290715608032
38,relative_residual,0.007282224702363202
39,relative_residual,0.007970108356784564
40,relative_residual,0.007705357357775993
41,relative_residual,0.007254036763558129
42,relative_residual,0.006516203552320018
43,relative_residual,0.00519655751754027
44,relative_residual,0.004476437260000354
45,relative_residual,0.00445520803474547
46,relative_residual,0.003821188092778856
47,relative_residual,0.0031986590531557306
48,relative_residual,0.0029005018535237168
49,relative_residual,0.0032678843693777905
50,relative_residual,0.003282265263278201
51,relative_residual,0.0029118902728844788
52,relative_residual,0.0025152382055339366
53,relative_residual,0.0021777044665398488
54,relative_residual,0.0020855595152959854
55,relative_residual,0.0019692034991747633
56,relative_residual,0.0019767963156395317
57,relative_residual,0.0014918640224700402
58,relative_residual,0.0013799098971414684
59,relative_residual,0.001408503443416517
60,relative_residual,0.0013740634845361157
61,relative_residual,0.0013204253307382778
62,relative_residual,0.0012643465201549516
63,relative_residual,0.0010013065933493228
64,relative_residual,0.0010261318884588237
65,relative_residual,0.000900721099000643
66,relative_residual,0.0008248022728967501
67,relative_residual,0.000838944780662237
68,relative_residual,0.0007621965293806902
69,relative_residual,0.0007328932445338104
70,relative_residual,0.0007007742163758656
71,relative_residual,0.0006771399395440351
72,relative_residual,0.0006645915263958106
73,relative_residual,0.0006061691468823462
74,relative_residual,0.0005714152082558069
75,relative_residual,0.0005155694414559026
76,relative_residual,0.0004785352183725865
77,relative_residual,0.0004581116829776925
78,relative_residual,0.0004237843770192665
79,relative_residual,0.00034005346489101896
80,relative_residual,0.00030516226828747393
81,relative_residual,0.0002996964259289979
82,relative_residual,0.00027375456664228243
83,relative_residual,0.00026181282929042625
84,relative_residual,0.00023522141586660705
85,relative_residual,0.00022159735126748962
86,relative_residual,0.00020377216070134672
87,relative_residual,0.00020443033970044732
88,relative_residual,0.00023449278080845087
89,relative_residual,0.0002518345298538779
90,relative_residual,0.0002611090924574533
91,relative_residual,0.00027338204894198097
92,relative_residual,0.00024419996170437733
93,relative_residual,0.0002474006124598853
94,relative_residual,0.00023058117535875434
95,relative_residual,0.00022320037599306796
96,relative_residual,0.00023488950928468886
97,relative_residual,0.00020253247203326112
98,relative_residual,0.00017348256064579547
99,relative_residual,0.00014535451737414121
100,relative_residual,0.00012772255939025716
101,relative_residual,0.00011942376339618856
102,relative_residual,0.00011414366459968329
103,relative_residual,0.00010745194946167398
104,relative_residual,0.00010152087854605146
105,relative_residual,9.090605383726474e-05
106,relative_residual,8.42593590333555e-05
107,relative_residual,7.854519706309513e-05
108,relative_residual,8.463170543493922e-05
109,relative_residual,7.57820645570344e-05
110,relative_residual,7.68992226205208e-05
111,relative_residual,6.52048853468918e-05
112,relative_residual,7.147740141720057e-05
113,relative_residual,7.889016103456177e-05
114,relative_residual,7.469214763595696e-05
115,relative_residual,7.326284174270687e-05
116,relative_residual,6.722478329476025e-05
117,relative_residual,6.974786001086037e-05
118,relative_residual,6.679166580434048e-05
119,relative_residual,7.424253288704144e-05
120,relative_residual,6.732068226219518e-05
121,relative_residual,6.813232994402149e-05
122,relative_residual,5.6860983375937756e-05
123,relative_residual,5.720619871383341e-05
124,relative_residual,5.9797449876630615e-05
125,relative_residual,5.802666975013412e-05
126,relative_residual,4.9862707601019884e-05
127,relative_residual,4.316954133554254e-05
128,relative_residual,3.944637808796042e-05
129,relative_residual,4.0575089828942763e-05
130,relative_residual,3.647652252668049e-05
131,relative_residual,3.302034314492329e-05
132,relative_residual,3.190970407271812e-05
133,relative_residual,2.8240939531314534e-05
134,relative_residual,2.5409109024739703e-05
135,relative_residual,2.2440956580493953e-05
136,relative_residual,2.0189585828540463e-05
137,relative_residual,1.907002271952663e-05
138,relative_residual,1.6105301844670948e-05
139,relative_residual,1.5073420864394084e-05
140,relative_residual,1.3653313810963471e-05
141,relative_residual,1.129210149562749e-05
142,relative_residual,9.81984284983162e-06
143,relative_residual,9.594330143230365e-06
144,relative_residual,8.559545197818532e-06
145,relative_residual,7.3888815799953525e-06
146,relative_residual,6.743107986238506e-06
147,relative_residual,6.50401004801845e-06
148,relative_residual,5.9437433352140085e-06
149,relative_residual,5.1468721860901145e-06
150,relative_residual,4.55790380676598e-06
151,relative_residual,4.372610685459076e-06
152,relative_residual,4.015248751995176e-06
153,relative_residual,3.614684088556413e-06
154,relative_residual,3.425511988954526e-06
155,relative_residual,3.1430891785547955e-06
156,relative_residual,2.839889271774365e-06
157,relative_residual,2.725832536508296e-06
158,relative_residual,2.4636935500566092e-06
159,relative_residual,2.276065983278517e-06
160,relative_residual,2.150290534142504e-06
161,relative_residual,1.894650460151185e-06
162,relative_residual,1.693013857032592e-06
163,relative_residual,1.3770093523496177e-06
164,relative_residual,1.2808912033134317e-06
165,relative_residual,1.1071048178643547e-06
166,relative_residual,9.990847340441537e-07
