model,context,batch,HBM_overflow,safe_resident_batch,wave_sizes,num_waves,selected_HBM_policy,host_tokens_per_s,host_tokens_per_J,host_mean_TTFT,host_P95_TTFT,host_max_TTFT,host_mean_TPOT,host_P95_TPOT,host_mean_completion_latency,host_P95_completion_latency,host_max_completion_latency,wave_tokens_per_s,wave_tokens_per_J,wave_mean_TTFT,wave_P95_TTFT,wave_max_TTFT,wave_mean_TPOT,wave_P95_TPOT,wave_mean_completion_latency,wave_P95_completion_latency,wave_max_completion_latency
Llama-3.1-8B,LC20K,1,False,48,[1],1,HBM_HOST_OFFLOAD,169.2825246591218,0.3880285411839129,0.011767106397049597,0.011767106397049597,0.011767106397049597,0.005718236546953858,0.005718236546953858,0.18903309756537046,0.18903309756537046,0.18903309756537046,169.2825246591218,0.3880285411839129,0.011767106397049597,0.011767106397049597,0.011767106397049597,0.005718236546953858,0.005718236546953858,0.18903309756537046,0.18903309756537046,0.18903309756537046
Llama-3.1-8B,LC20K,8,False,48,[8],1,HBM_HOST_OFFLOAD,623.7458885802794,1.4155849175072994,0.047521237630311776,0.047521237630311776,0.047521237630311776,0.011706356246424673,0.011706356246424673,0.4104235469714867,0.4104235469714867,0.4104235469714867,623.7458885802794,1.4155849175072994,0.047521237630311776,0.047521237630311776,0.047521237630311776,0.011706356246424673,0.011706356246424673,0.4104235469714867,0.4104235469714867,0.4104235469714867
Llama-3.1-8B,LC20K,32,False,48,[32],1,HBM_HOST_OFFLOAD,871.5885641854508,1.9748084160444885,0.17549657789444445,0.17549657789444445,0.17549657789444445,0.03223705235889605,0.03223705235889605,1.174866263828262,1.174866263828262,1.174866263828262,871.5885641854508,1.9748084160444885,0.17549657789444445,0.17549657789444445,0.17549657789444445,0.03223705235889605,0.03223705235889605,1.174866263828262,1.174866263828262,1.174866263828262
Llama-3.1-8B,LC64K,1,False,15,[1],1,HBM_HOST_OFFLOAD,127.2514781196551,0.28957343719572,0.016281843078159212,0.016281843078159212,0.016281843078159212,0.007586711453744751,0.007586711453744751,0.2514705563569978,0.2514705563569978,0.2514705563569978,127.2514781196551,0.28957343719572,0.016281843078159212,0.016281843078159212,0.016281843078159212,0.007586711453744751,0.007586711453744751,0.2514705563569978,0.2514705563569978,0.2514705563569978
Llama-3.1-8B,LC64K,8,False,15,[8],1,HBM_HOST_OFFLOAD,277.50698723007457,0.630404755583751,0.09621520849606749,0.09621520849606749,0.09621520849606749,0.026654155500751835,0.026654155500751835,0.9224992947213844,0.9224992947213844,0.9224992947213844,277.50698723007457,0.630404755583751,0.09621520849606749,0.09621520849606749,0.09621520849606749,0.026654155500751835,0.026654155500751835,0.9224992947213844,0.9224992947213844,0.9224992947213844
Llama-3.1-8B,LC64K,32,True,15,"[15, 15, 2]",3,HBM_RESIDENT_WAVE,92.6461819586715,0.4914631436241791,0.6695539573233416,0.6695539573233416,0.6695539573233416,0.3349384811260028,0.3349384811260028,11.052803022760244,11.052803022760244,11.052803022760244,264.12776494697914,0.6441298644246715,1.2761044260690149,2.740323210371369,3.5572807064683523,0.04350841407801702,0.04572159954775891,2.624874600880951,3.663715822152179,3.8769116158824017
Llama-3.1-8B,LC126K,1,False,7,[1],1,HBM_HOST_OFFLOAD,93.65879705586153,0.21307609141611358,0.02485862203746846,0.02485862203746846,0.02485862203746846,0.010219562458768287,0.010219562458768287,0.3416657164720366,0.3416657164720366,0.3416657164720366,93.65879705586153,0.21307609141611358,0.02485862203746846,0.02485862203746846,0.02485862203746846,0.010219562458768287,0.010219562458768287,0.3416657164720366,0.3416657164720366,0.3416657164720366
Llama-3.1-8B,LC126K,8,True,7,"[7, 1]",2,HBM_HOST_OFFLOAD,158.11945303927433,0.35403531562632257,0.1640524730993574,0.1640524730993574,0.1640524730993574,0.04693473076774596,0.04693473076774596,1.619029126899482,1.619029126899482,1.619029126899482,139.1805734040076,0.3217459378532556,0.3170456655285342,1.0403363029119468,1.5225300611675563,0.03834261327039713,0.042360191957772686,1.5056707907405409,1.7058706096574907,1.8393371556021245
Llama-3.1-8B,LC126K,32,True,7,"[7, 7, 7, 7, 4]",5,HBM_RESIDENT_WAVE,32.33887800052591,0.21232787157412242,1.9187582038526205,1.9187582038526205,1.9187582038526205,0.9595406043906423,0.9595406043906423,31.664673090493345,31.664673090493345,31.664673090493345,132.5818049535951,0.33467603291740755,3.2683710111288775,6.908544582808662,6.908544582808662,0.040351402614084916,0.042360191957772686,4.519268852824986,7.723533409116053,7.723533409116053
Qwen2.5-32B,LC20K,1,False,14,[1],1,HBM_HOST_OFFLOAD,43.15504521715834,0.09906143691796321,0.046005184739005514,0.046005184739005514,0.046005184739005514,0.022435673295557467,0.022435673295557467,0.7415123733267895,0.7415123733267895,0.7415123733267895,43.15504521715834,0.09906143691796321,0.046005184739005514,0.046005184739005514,0.046005184739005514,0.022435673295557467,0.022435673295557467,0.7415123733267895,0.7415123733267895,0.7415123733267895
