model,context,batch,path,H,P,G,Tmax_C,thermal_feasible,thermal_metric,GPU_power_W,memory_power_W,mapping,operator_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status
Llama-3.1-8B,LC64K,8,HBM_BEST,64000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_GPU,64000,128,32,83.23336565282324,True,PEAK_DECODE_STEADY_STATE,380.73352135770944,23.47135187862847,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.691167600001791,2290,0.0005573600615586185,0.00792967920916396,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,71.5367909252675,True,PEAK_DECODE_STEADY_STATE,171.0914840621355,227.78361971327294,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.4125125999999,2210,0.0005416978192638227,0.008560086240319297,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,64000,128,32,71.43578822299287,True,PEAK_DECODE_STEADY_STATE,184.26729495320092,209.98927449177617,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.417273600003682,2210,0.0005459546491605909,0.008398984036128819,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,32,HBM_BEST,64000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,32,M3D_GPU,64000,128,32,83.64851147615059,True,PEAK_DECODE_STEADY_STATE,383.237094445751,23.661402331263584,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.685305899998639,2290,0.000560828571873962,0.00797978083569468,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,32,M3D_NMP_UNIFORM,64000,128,32,72.00844124920184,True,PEAK_DECODE_STEADY_STATE,174.3774930250142,227.7984832746122,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.421776100003626,2210,0.0005462744923068666,0.008467535127471405,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,32,M3D_NMP_CPA,64000,128,32,72.61772493729814,True,PEAK_DECODE_STEADY_STATE,187.6684839571457,215.98342200568524,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.417208400001982,2210,0.0005573263883753614,0.008545896126384431,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,1,HBM_BEST,126000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_GPU,126000,128,32,82.32162335415774,True,PEAK_DECODE_STEADY_STATE,375.33096086248213,23.056928228045212,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.685055000009015,2290,0.0005497910250810408,0.007817242484767206,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,126000,128,32,67.41185789736545,True,PEAK_DECODE_STEADY_STATE,146.07744734454405,223.9654392708912,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0012500000000000011,0.00037179,,7.247535799993784,2160,0.0005938809452478101,0.009756880476367523,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,126000,128,32,65.5664569295181,True,PEAK_DECODE_STEADY_STATE,150.09740725146676,202.7995821726265,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.1463793000002624,2130,0.0006188880122121191,0.009740510245111042,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,8,HBM_BEST,126000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,8,M3D_GPU,126000,128,32,83.50259014639363,True,PEAK_DECODE_STEADY_STATE,382.3581615065546,23.596814472450678,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.681106399992132,2290,0.0005595465107391366,0.007961391949674641,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,126000,128,32,73.97939042108044,True,PEAK_DECODE_STEADY_STATE,171.71782416307278,248.14269563316995,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.41280919998826,2210,0.0005641653136704014,0.009588795521766615,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,8,M3D_NMP_CPA,126000,128,32,74.10255685829242,True,PEAK_DECODE_STEADY_STATE,182.3860558708039,235.52287143837438,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.412480800005142,2210,0.0005698975429453568,0.008729145616900486,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,32,HBM_BEST,126000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,32,M3D_GPU,126000,128,32,83.74461457175073,True,PEAK_DECODE_STEADY_STATE,383.81023791250215,23.70780607932148,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.684574099999736,2290,0.0005617143432101707,0.00799296597244101,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,32,M3D_NMP_UNIFORM,126000,128,32,74.5797286722813,True,PEAK_DECODE_STEADY_STATE,174.72493060078898,249.62087425646587,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.416719999993802,2210,0.0005703595470149277,0.009604714449056858,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,32,M3D_NMP_CPA,126000,128,32,74.90371774517263,True,PEAK_DECODE_STEADY_STATE,184.61627556279169,239.74151946837398,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.417458600000828,2210,0.0005774810220016899,0.008897882847462258,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,1,HBM_BEST,20000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,1,M3D_GPU,20000,128,32,82.53021133161491,True,PEAK_DECODE_STEADY_STATE,376.60128924327296,23.148862089010102,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.681348400001298,2290,0.0005507142620084625,0.00783008007456389,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,64.22378051056103,True,PEAK_DECODE_STEADY_STATE,134.366334820509,210.90072867855292,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.147616400005063,2130,0.0005997979654374766,0.009415330898248957,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,1,M3D_NMP_CPA,20000,128,32,63.57467944747498,True,PEAK_DECODE_STEADY_STATE,140.29671866636372,197.75884116018352,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0002500000000000002,0.00037179,,7.148866800009273,2130,0.0005919225894839979,0.00929971978459492,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,8,HBM_BEST,20000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,8,M3D_GPU,20000,128,32,82.8530214580345,True,PEAK_DECODE_STEADY_STATE,378.44743409411114,23.300717123627116,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.687265799992019,2290,0.0005542884356337588,0.007886463970934508,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,71.27374681461401,True,PEAK_DECODE_STEADY_STATE,170.18224545345592,226.65213962844058,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.416962700008298,2210,0.0005390725850393526,0.008520750685858532,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,8,M3D_NMP_CPA,20000,128,32,71.93688507180087,True,PEAK_DECODE_STEADY_STATE,189.99983668763136,206.344592819388,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.0002500000000000002,0.00037179,,7.413892600001418,2210,0.0005523657176993816,0.00862530625533038,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,32,HBM_BEST,20000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,32,M3D_GPU,20000,128,32,83.16707890112292,True,PEAK_DECODE_STEADY_STATE,380.3518344254168,23.452708519230374,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.6799763000017265,2290,0.00055601426124191,0.00791282887693829,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,32,M3D_NMP_UNIFORM,20000,128,32,71.76106746164902,True,PEAK_DECODE_STEADY_STATE,174.74589215398188,225.3031917277722,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.412227900000289,2210,0.0005426798149771489,0.008294130027738893,THERMAL_FEASIBLE
Qwen2.5-32B,LC20K,32,M3D_NMP_CPA,20000,128,32,73.8997932115289,True,PEAK_DECODE_STEADY_STATE,193.89415453265755,219.13935107818273,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.0002500000000000002,0.00037179,,7.411819099987042,2210,0.000570902706638619,0.008807184009487856,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,1,HBM_BEST,64000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,1,M3D_GPU,64000,128,32,82.6824548943789,True,PEAK_DECODE_STEADY_STATE,377.4668400175403,23.216784094993656,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.681917699999758,2290,0.0005524624370594,0.007858226578845351,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,1,M3D_NMP_UNIFORM,64000,128,32,65.81140901658853,True,PEAK_DECODE_STEADY_STATE,137.9366529435652,220.4431379764845,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.147387099990738,2130,0.0006202144255550676,0.009833750116991386,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,1,M3D_NMP_CPA,64000,128,32,64.79667600368373,True,PEAK_DECODE_STEADY_STATE,141.87230253912236,206.57818256237383,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0002500000000000002,0.00037179,,7.145868599996902,2130,0.0006067944891153925,0.009529035131981394,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,8,HBM_BEST,64000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,8,M3D_GPU,64000,128,32,83.16388987531195,True,PEAK_DECODE_STEADY_STATE,380.4161054280288,23.443211222082915,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.682263099995907,2290,0.0005565183388487627,0.007917213565262161,THERMAL_FEASIBLE
