group,policy,cases,tokens_per_s_geomean_ratio_vs_HOST_OFFLOAD,tokens_per_J_geomean_ratio_vs_HOST_OFFLOAD,mean_TTFT_geomean_ratio_vs_HOST_OFFLOAD,mean_TPOT_geomean_ratio_vs_HOST_OFFLOAD,P95_completion_latency_geomean_ratio_vs_HOST_OFFLOAD
Llama-3.1-8B,RESIDENT_WAVE,9,1.2956332711333103,1.0724974937378216,1.226356542870582,0.5480793370802984,0.760595116822168
Llama-3.1-8B,HBM_BEST,9,1.314130181824796,1.083954670020254,1.1397865452642357,0.5605319693803522,0.756192321916525
Qwen2.5-32B,RESIDENT_WAVE,9,1.531971246540454,0.9889245322461689,1.6884312987250385,0.2537619442536663,0.6502055384235378
Qwen2.5-32B,HBM_BEST,9,1.531971246540454,0.9889245322461689,1.6884312987250385,0.2537619442536663,0.6502055384235378
ALL,RESIDENT_WAVE,18,1.4088551797247946,1.0298636231704972,1.4389644784979667,0.3729365605337684,0.7032376251706611
ALL,HBM_BEST,18,1.4188761936006136,1.0353498756583834,1.3872459323745803,0.3771494165000056,0.7011992839581906
