model,context,batch,path,H,P,G,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_hbm_read_J,prefill_hbm_write_J,prefill_host_memory_J,prefill_c2c_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_hbm_read_J,decode_hbm_write_J,decode_host_memory_J,decode_c2c_J,admission_host_memory_J,admission_c2c_J,admission_hbm_write_J,admission_gpu_static_J,E2E_J,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_feol_unresolved_J
Llama-3.1-8B,LC126K,32,HBM_BEST,126000,128,32,178.4640039288567,34.666851730156985,14.988016091135998,0.19725500514304,0.0,0.0,1806.4126607202713,463.4901674532075,463.97263341158396,0.0021426518097919993,0.0,0.0,13.212057599999998,4.29391872,6.5911652352,73.38445309122353,3059.6753256385887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,32,M3D_GPU,126000,128,32,178.4640039288567,34.666851730156985,,,,,1626.896428045435,388.593793693039,,,,,,,,,2357.255162043405,25.670779137530264,3.9996882944e-07,5.57152016007168,0.000134217728,0.000134217728,0.0001073741824,0.0,0.0,0.0,0.0,0.0,0.0,69.644538871808,0.3406818688969267,23.268134894010615,0.0,0.8322448413949951,3.68215932928e-05,0.18062828896256,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,2.307278569472,0.011286570189391498,0.7719809421724959,0.0
Llama-3.1-8B,LC126K,32,M3D_NMP_UNIFORM,126000,128,32,178.4640039288567,34.666851730156985,,,,,149.69149188997122,109.9744654455101,,,,,,,,,847.9068328956679,25.670779137530264,3.9996882944e-07,5.57152016007168,0.000134217728,0.000134217728,0.0001073741824,60.075721673932804,2.69614156087296,37.98811017216,37.98811017216,83.092316356608,1.323118362624,6.40802619392,0.3406818688969267,62.557722580649916,47.25929731307056,0.8322448413949951,3.68215932928e-05,0.18062828896256,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,2.307278569472,0.011286570189391498,0.7720255772483482,0.0
Llama-3.1-8B,LC126K,32,M3D_NMP_CPA,126000,128,32,178.4640039288567,34.666851730156985,,,,,149.69149188997122,100.14051136236165,,,,,,,,,791.53122377015,25.670779137530264,3.9996882944e-07,5.57152016007168,0.000134217728,0.000134217728,0.0001073741824,52.9206316367872,2.69614156087296,28.811763646464,28.811763646464,83.092316356608,0.969831088128,6.40802619392,0.3406818688969267,46.103061643696456,43.033354882744604,0.8322448413949951,3.68215932928e-05,0.18062828896256,0.01235623936,0.01235623936,0.009884991488,0.0,0.0,0.0,0.0,0.0,0.0,2.307278569472,0.011286570189391498,0.7720442651919167,0.0
Qwen2.5-32B,LC20K,1,HBM_HOST_OFFLOAD,20000,128,32,6.180347798195291,1.7442412623023413,1.715460096,0.020360047292416,0.0,0.0,207.0604952266342,53.12767436388008,53.183145050112,0.00013391573811200004,0.0,0.0,0.0,0.0,0.0,0.0,323.0318577601544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,1,HBM_RESIDENT_WAVE,20000,128,32,6.180347798195291,1.7442412623023413,1.715460096,0.020360047292416,0.0,0.0,207.0604952266342,53.12767436388008,53.183145050112,0.00013391573811200004,0.0,0.0,0.0,0.0,0.0,0.0,323.0318577601544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,1,HBM_BEST,20000,128,32,6.180347798195291,1.7442412623023413,1.715460096,0.020360047292416,0.0,0.0,207.0604952266342,53.12767436388008,53.183145050112,0.00013391573811200004,0.0,0.0,0.0,0.0,0.0,0.0,323.0318577601544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,1,M3D_GPU,20000,128,32,6.180347798195291,1.6531872729174297,,,,,207.06049522663426,50.63586042573863,,,,,,,,,281.8913364412128,3.2672178775785468,2.499805184e-08,0.7091086006681601,8.388608e-06,8.388608e-06,6.7108864e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.863891062783999,0.04335973004977267,2.9564336719513307,0.0,0.10538643189759998,3.8006101811199996e-06,0.02287280128,0.0012753725439999999,0.0012753725439999999,0.0010202980352,0.0,0.0,0.0,0.0,0.0,0.0,0.29101150617599997,0.00142354864106419,0.09714212986686407,0.0
Qwen2.5-32B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,6.180347798195291,1.585411075857425,,,,,9.62935199367168,11.804129729764766,,,,,,,,,63.362697423587754,3.2672178775785468,2.499805184e-08,0.7091086006681601,8.388608e-06,8.388608e-06,6.7108864e-06,6.5394083627008,0.25642487775232,3.8248894932,3.8248894932,2.8918677504,0.10336862208,0.412215410688,0.04335973004977267,6.696526755298688,5.072585478466481,0.10538643189759998,3.8006101811199996e-06,0.02287280128,0.0012753725439999999,0.0012753725439999999,0.0010202980352,0.0,0.0,0.0,0.0,0.0,0.0,0.29101150617599997,0.00142354864106419,0.09730172918732694,0.0
Qwen2.5-32B,LC20K,1,M3D_NMP_CPA,20000,128,32,6.180347798195291,1.585411075857425,,,,,9.62935199367168,10.748224978037033,,,,,,,,,57.38864797307021,3.2672178775785468,2.499805184e-08,0.7091086006681601,8.388608e-06,8.388608e-06,6.7108864e-06,5.5490815983616,0.25642487775232,2.778279492564,2.778279492564,2.8918677504,0.03584557056,0.412215410688,0.04335973004977267,5.383200976036986,4.618831814886184,0.10538643189759998,3.8006101811199996e-06,0.02287280128,0.0012753725439999999,0.0012753725439999999,0.0010202980352,0.0,0.0,0.0,0.0,0.0,0.0,0.29101150617599997,0.00142354864106419,0.09730629037072447,0.0
