architecture,bandwidth_TBps,point_kind,GPU_static_W,GPU_dynamic_W,array_read_W,read_peripheral_W,miv_effective_W,feol_route_effective_W,interface_W,total_memory_side_W,MAC_W,SRAM_W,NMP_router_W,NMP_NoC_W,reduction_W,NMP_unresolved_W,total_M3D_W,total_package_W
orthogonal_m3d_igzo,5.0,ORIGINAL_COARSE_GRID,74.0,467.20000000000005,7.372,1.6,0.09783448447265627,6.68225253380966,20.0,35.75208701828232,0,0,0,0,0,0,35.75208701828231,576.9520870182823
orthogonal_m3d_igzo,5.2,ORIGINAL_COARSE_GRID,74.0,485.8879999999999,7.66688,1.6640000000000001,0.10174786385156252,6.949542635162046,20.8,37.18217049901361,0,0,0,0,0,0,37.18217049901361,597.0701704990136
orthogonal_m3d_igzo,5.4,ORIGINAL_COARSE_GRID,74.0,504.576,7.96176,1.7280000000000002,0.10566124323046878,7.216832736514433,21.6,38.6122539797449,0,0,0,0,0,0,38.6122539797449,617.1882539797449
orthogonal_m3d_igzo,5.6,ORIGINAL_COARSE_GRID,74.0,523.264,8.256639999999999,1.7919999999999998,0.10957462260937502,7.484122837866818,22.4,40.04233746047619,0,0,0,0,0,0,40.0423374604762,637.3063374604762
orthogonal_m3d_igzo,5.8,ORIGINAL_COARSE_GRID,74.0,541.952,8.55152,1.8559999999999999,0.11348800198828128,7.751412939219205,23.2,41.47242094120748,0,0,0,0,0,0,41.47242094120748,657.4244209412075
orthogonal_m3d_igzo,6.0,ORIGINAL_COARSE_GRID,74.0,560.64,8.8464,1.92,0.11740138136718753,8.018703040571591,24.0,42.90250442193878,0,0,0,0,0,0,42.90250442193878,677.5425044219388
orthogonal_m3d_igzo,6.2,ORIGINAL_COARSE_GRID,74.0,579.328,9.14128,1.9840000000000002,0.12131476074609378,8.285993141923978,24.8,44.33258790267007,0,0,0,0,0,0,44.33258790267007,697.66058790267
orthogonal_m3d_igzo,6.4,ORIGINAL_COARSE_GRID,74.0,598.016,9.43616,2.048,0.12522814012500003,8.553283243276365,25.6,45.76267138340137,0,0,0,0,0,0,45.76267138340136,717.7786713834013
orthogonal_m3d_igzo,6.6,ORIGINAL_COARSE_GRID,74.0,616.704,9.731039999999998,2.112,0.1291415195039063,8.82057334462875,26.4,47.19275486413265,0,0,0,0,0,0,47.19275486413265,737.8967548641326
orthogonal_m3d_igzo,6.7,ORIGINAL_COARSE_GRID,74.0,626.048,9.87848,2.144,0.1310982091933594,8.954218395304943,26.8,47.9077966044983,0,0,0,0,0,0,47.9077966044983,747.9557966044983
