architecture,bandwidth_TBps,GPU_power_W,memory_power_W,total_power_W,Tmax_C,hotspot,iterations,residual,solve_time_s
conventional_hbm_24hi_sensitivity,0.6,130.064,12.898460265799145,142.96246026579914,49.508555719120125,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1010.0,0.00011133895873290116,2.1152086000074632
conventional_hbm_24hi_sensitivity,0.8,148.752,17.197947021065524,165.94994702106553,54.17555807053088,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1010.0,0.0001286726962761941,2.3033542000339366
conventional_hbm_24hi_sensitivity,1.0,167.44,21.497433776331906,188.93743377633191,58.842561003463516,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1010.0,0.0001460595837798892,2.1560232000192627
conventional_hbm_24hi_sensitivity,1.2,186.128,25.79692053159829,211.92492053159827,63.51896003609869,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1080.0,8.657255557251556e-05,2.32906230003573
conventional_hbm_24hi_sensitivity,1.4,204.816,30.096407286864668,234.91240728686466,68.1873098698058,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1080.0,9.580926205520875e-05,2.399622500000987
conventional_hbm_24hi_sensitivity,1.6,223.504,34.39589404213105,257.89989404213105,72.85566213713207,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1080.0,0.0001050400641360043,2.302165300003253
conventional_hbm_24hi_sensitivity,1.8,242.192,38.695380797397426,280.88738079739744,77.52401624816957,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1080.0,0.00011426550002810531,2.32540929998504
conventional_hbm_24hi_sensitivity,2.0,260.88,42.99486755266381,303.87486755266383,82.19237178861516,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1080.0,0.00012348593523113917,2.2395516999531537
conventional_hbm_24hi_sensitivity,2.2,279.568,47.29435430793019,326.86235430793016,86.86352601569786,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1090.0,0.00011451660947716069,2.265265099995304
conventional_hbm_24hi_sensitivity,2.4,298.256,51.59384106319658,349.84984106319655,91.53209905126823,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1090.0,0.0001223683290631229,2.2993079000152647
conventional_hbm_24hi_sensitivity,2.6,316.94399999999996,55.89332781846295,372.8373278184629,96.20067266086613,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1090.0,0.00013021694109368242,2.3759091999963857
conventional_hbm_24hi_sensitivity,2.8,335.632,60.192814573729336,395.8248145737293,100.86924674144433,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1090.0,0.00013806232771090544,2.31201960000908
conventional_hbm_24hi_sensitivity,3.0,354.32,64.49230132899572,418.8123013289957,105.53782121309462,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1090.0,0.00014590435091757557,2.3806072999723256
conventional_hbm_24hi_sensitivity,3.2,373.008,68.7917880842621,441.7997880842621,110.21033288203711,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1100.0,0.00012302759341343327,2.304878599999938
conventional_hbm_24hi_sensitivity,3.4,391.69599999999997,73.09127483952848,464.78727483952844,114.87911989849584,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1100.0,0.00012924459422674557,2.2610859000124037
conventional_hbm_24hi_sensitivity,3.6,410.384,77.39076159479485,487.7747615947949,119.5479070904251,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1100.0,0.00013545891472612994,2.2470599999651313
conventional_hbm_24hi_sensitivity,3.8,429.072,81.69024835006125,510.76224835006127,124.21669443261328,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1100.0,0.00014167039112552343,2.32547770004021
conventional_hbm_24hi_sensitivity,4.0,447.76,85.98973510532763,533.7497351053277,128.88548190442287,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1100.0,0.00014787885688680847,2.3276560999802314
conventional_hbm_24hi_sensitivity,4.2,466.448,90.289221860594,556.737221860594,133.5542694888088,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1100.0,0.00015408414886023384,2.389266600017436
conventional_hbm_24hi_sensitivity,4.4,485.13599999999997,94.58870861586038,579.7247086158603,138.2230571715653,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1100.0,0.0001602861045056846,2.2931595999980345
conventional_hbm_24hi_sensitivity,4.6,503.824,98.88819537112677,602.7121953711268,142.89184494077062,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1100.0,0.00016648456307016975,2.2531749000190757
conventional_hbm_24hi_sensitivity,4.8,522.512,103.18768212639316,625.6996821263931,147.58868946797492,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1150.0,9.706047241737986e-05,2.3236988999997266
orthogonal_m3d_igzo,0.0,74.0,0.0,74.0,31.848521010823617,"gpu/FEOL@(15.950000,5.750000,0.371790)mm",1860.0,0.0006584221293288694,7.764973099983763
orthogonal_m3d_igzo,0.2,92.688,1.4300834807312925,94.1180834807313,34.93239277319947,"gpu/FEOL@(15.950000,-4.750000,0.371790)mm",1920.0,0.0006010727714115482,7.258860800007824
orthogonal_m3d_igzo,0.4,111.376,2.860166961462585,114.23616696146259,38.113729364876576,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1970.0,0.0005677362062059969,7.4250387999927625
orthogonal_m3d_igzo,0.6,130.064,4.290250442193877,134.35425044219386,41.27188475660034,"gpu/BEOL_MXY@(15.950000,-0.250000,0.372565)mm",2000.0,0.0005481001364820999,7.472213200002443
orthogonal_m3d_igzo,0.8,148.752,5.72033392292517,154.47233392292517,44.41899481290977,"gpu/FEOL@(15.950000,0.250000,0.371790)mm",2020.0,0.0005527315131328869,7.539874799986137
orthogonal_m3d_igzo,1.0,167.44,7.150417403656463,174.59041740365646,47.5276675862583,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",2050.0,0.0005663385953018563,7.645839200005867
orthogonal_m3d_igzo,1.2,186.128,8.580500884387755,194.70850088438775,50.680511746697164,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2080.0,0.000565499310182315,7.734975600003963
orthogonal_m3d_igzo,1.4,204.816,10.01058436511905,214.82658436511906,53.77491081878412,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2130.0,0.0005376170032547857,7.97316240001237
orthogonal_m3d_igzo,1.6,223.504,11.44066784585034,234.94466784585032,56.91081657357546,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2130.0,0.0005856005696298701,8.212472999992315
orthogonal_m3d_igzo,1.8,242.192,12.870751326581633,255.06275132658163,60.046721265130486,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2130.0,0.0006337116682182897,8.000806900003226
