architecture,slabs,Bthermal_TBps,old_Bthermal_TBps,delta_Bthermal_TBps,Tmax_2p4_C,Tmax_4p8_C,delta_Tmax_2p4_C,delta_Tmax_4p8_C,hotspot,crossing_solved_Tmax_C,status
orthogonal_m3d_igzo,318,3.3957835581187483,3.402805122206285,-0.007021564087536625,69.44791686213455,107.0555526516049,0.13530585756717528,0.15484288632052312,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",84.99999999912148,BRACKETED_INTERPOLATION_WITH_LOCAL_SOLVE
orthogonal_m3d_300um_sensitivity,106,3.4361751234215205,3.4432662081600376,-0.007091084738517051,68.8888089084146,106.17046566483879,0.07708838463605616,0.1534087642829718,"gpu/FEOL@(15.950000,5.250000,0.371790)mm",85.00000000348348,BRACKETED_INTERPOLATION_WITH_LOCAL_SOLVE
conventional_hbm_2x1,,3.0865643306417803,3.2973872924850354,-0.2108229618432551,73.00401832650874,114.88822231020191,2.6755192825916083,5.333605877862453,"gpu/FEOL@(12.258000,0.247917,0.371790)mm",,BRACKETED_INTERPOLATION_ORIGINAL_GRID
conventional_hbm_24hi_sensitivity,,1.9612778276956386,2.1202113257193096,-0.15893349802367096,96.070836203569,156.6715297553394,4.538737152300769,9.08284028736449,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",,BRACKETED_INTERPOLATION_ORIGINAL_GRID
