model,context,batch,H,P,G,feol_frequency_ghz,t_prefill,t_decode,t_e2e,e_prefill,e_decode,e_e2e,tokens_per_s,tokens_per_j,tmax_c,thermal_feasible,dominant_bottleneck,bottleneck_definition,source,ARRAY_service_s,LOCAL_FABRIC_service_s,MAC_service_s,INTER_REGION_NOC_service_s,EXTERNAL_BOUNDARY_service_s,GPU_COMPUTE_service_s,normalized_throughput,normalized_energy_efficiency,noc_service_s,GPU_power_W,local_array_bytes,boundary_bytes,event_conservation,energy_conservation,elapsed_s,reduction_service_s
Llama-3.1-8B,LC20K,1,20000,128,32,1.0,0.005498659504183582,0.04611752843984707,0.05161618794403065,2.24655288189863,14.39922030235573,16.64577318425436,619.9605448333144,1.9224099503091616,60.79326769504013,True,ARRAY,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.026983780927674814,0.02179240269025319,0.013895008000000037,0.005258336000000005,0.010774501744535455,0.0017088546399999973,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC20K,1,20000,128,32,1.25,0.005498659504183582,0.04452199848372753,0.05002065798791111,2.24655288189863,14.230413232998282,16.47696611489691,639.7356869582502,1.9421051045962057,61.73134500017437,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.026983780927674814,0.0174569505902532,0.01111600639999999,0.0042307339036195555,0.010774501744535455,0.0017088546399999973,1.0318974203918938,1.0102450334715947,0.003391873103619557,149.9093990068041,564790558720.0,36169072640.0,PASS,PASS,28.41755670000566,0.0008388607999999984
Llama-3.1-8B,LC20K,1,20000,128,32,1.5,0.005498659504183582,0.04347050118614052,0.0489691606903241,2.24655288189863,14.119164818913577,16.365717700812205,653.4725028751194,1.9553068545482666,62.38720678813246,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.026983780927674814,0.014566649190253193,0.009263338666666659,0.003545665839365941,0.010774501744535455,0.0017088546399999973,1.0540549851455712,1.0171123252008836,0.002846615172699268,151.74555285226646,564790558720.0,36169072640.0,PASS,PASS,29.5424697999988,0.0006990506666666729
Llama-3.1-8B,LC20K,1,20000,128,32,2.0,0.005498659504183582,0.04219903094573141,0.04769769044991499,2.24655288189863,13.984643267478292,16.23119614937692,670.8920221955324,1.971512124276091,63.22392988455573,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.026983780927674814,0.010953779391032434,0.006947504000000018,0.0026893307590488973,0.010774501744535455,0.0017088546399999973,1.0821527721186057,1.0255419890846031,0.0021650427590488974,154.08805111728432,564790558720.0,36169072640.0,PASS,PASS,28.934277699998347,0.0005242879999999999
Llama-3.1-8B,LC20K,1,20000,128,32,2.5,0.005498659504183582,0.041581147990193086,0.047079807494376666,2.24655288189863,13.919271250782337,16.165824132680967,679.6969168538373,1.9794846051373607,63.64901833814031,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.026983780927674814,0.008786115410887373,0.005558003199999995,0.0021755297108586777,0.010774501744535455,0.0017088546399999973,1.0963551189158076,1.0296891174637441,0.0017560993108586779,155.27813470370486,564790558720.0,36169072640.0,PASS,PASS,28.90973590000067,0.00041943039999999985
Llama-3.1-8B,LC20K,1,20000,128,32,3.0,0.005498659504183582,0.041238613958066286,0.046737273462249866,2.24655288189863,13.883031150183323,16.12958403208195,684.6783654559289,1.9839321297035055,63.89016147902845,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.026983780927674814,0.007341056835887372,0.004631669333333329,0.001832995678731861,0.010774501744535455,0.0017088546399999973,1.104390224768279,1.0320026326249767,0.0014834703453985292,155.9532429222331,564790558720.0,36169072640.0,PASS,PASS,29.771201600000495,0.0003495253333333319
Llama-3.1-8B,LC20K,8,20000,128,32,1.0,0.03582014708589715,0.22764626665745763,0.2634664137433548,16.616630457154645,86.78591657171287,103.40254702886752,971.6608518054682,2.4757610654264726,70.51417424229373,True,EXTERNAL_BOUNDARY,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.05106215995406897,0.07615314747136637,0.08310403200000012,0.03726473599999995,0.08520672839872499,0.013670837119999979,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC20K,8,20000,128,32,1.25,0.03582014708589715,0.2049581802586076,0.24077832734450474,16.616630457154645,84.38551703071452,101.00214748786917,1063.2186161577415,2.5345995740412035,74.45626321305707,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.05106215995406897,0.06094681832136629,0.0664832255999999,0.029835901274960268,0.08520672839872499,0.013670837119999979,1.0942281086884869,1.0237658267739966,0.025641597274960265,205.91522849070245,1156237492224.0,289352581120.0,PASS,PASS,224.8563848000049,0.004194304000000003
Llama-3.1-8B,LC20K,8,20000,128,32,1.5,0.03582014708589715,0.19109838755377842,0.22691853463967557,16.616630457154645,82.91915096254358,99.53578141969822,1128.1581753844082,2.571939420664832,77.29686445195563,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.05106215995406897,0.050809265554699626,0.05540268800000009,0.024883344791600343,0.08520672839872499,0.013670837119999979,1.1610616742335027,1.0388479957058343,0.021388091458267033,215.4826442334271,1156237492224.0,289352581120.0,PASS,PASS,225.97257729999546,0.003495253333333309
Llama-3.1-8B,LC20K,8,20000,128,32,2.0,0.03582014708589715,0.17562818389773385,0.211448330983631,16.616630457154645,81.28240341573408,97.89903387288872,1210.6976622095822,2.614938982261952,81.01034763268416,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.05106215995406897,0.03813762746922839,0.04155201600000006,0.01869264918740051,0.08520672839872499,0.013670837119999979,1.2460084812102428,1.0562162151990644,0.016071209187400518,227.94513898518807,1156237492224.0,289352581120.0,PASS,PASS,226.25115909999295,0.0026214399999999922
