model,workload_id,H,P,G,batch_size,system,status,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,capacity_GB,capacity_utilization,capacity_violation_GB,physical_slot_excess_GB,HBM_capacity_GB,Grace_capacity_GB,HBM_only_fit,physical_slot_status,kv_state_fraction
Llama-3.1-70B,W2,20000,512,256,1,M3D_MAC_NMP,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,1493.84331264,0.09907381206831199,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035
Llama-3.1-70B,W2,20000,512,256,8,HBM_GPU,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,624.95514624,0.3140291317940968,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982
Llama-3.1-70B,W2,20000,512,256,8,M3D_GPU,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,1493.84331264,0.13137530577900383,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982
Llama-3.1-70B,W2,20000,512,256,8,M3D_MAC_NMP,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,1493.84331264,0.13137530577900383,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982
Llama-3.1-70B,W3,126000,512,512,1,HBM_GPU,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,624.95514624,0.2925309420938708,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252
Llama-3.1-70B,W3,126000,512,512,1,M3D_GPU,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,1493.84331264,0.12238145470083671,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252
Llama-3.1-70B,W3,126000,512,512,1,M3D_MAC_NMP,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,1493.84331264,0.12238145470083671,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252
Llama-3.1-70B,W3,126000,512,512,8,HBM_GPU,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,624.95514624,0.7597310838715208,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443
Llama-3.1-70B,W3,126000,512,512,8,M3D_GPU,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,1493.84331264,0.3178364468392015,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443
Llama-3.1-70B,W3,126000,512,512,8,M3D_MAC_NMP,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,1493.84331264,0.3178364468392015,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443
Llama-3.1-405B,W1,2000,512,256,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,1.032192,1.428553728,0.163577856,813.298909184,624.95514624,1.3013716489529807,188.343762944,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.0017568462136147843
Llama-3.1-405B,W1,2000,512,256,1,M3D_GPU,EVALUATED,811.7067776,1.032192,1.428553728,0.163577856,813.298909184,1493.84331264,0.5444338789097597,0.0,0.0,144.95514624,480.0,False,PASS,0.0017568462136147843
Llama-3.1-405B,W1,2000,512,256,1,M3D_MAC_NMP,EVALUATED,811.7067776,1.032192,1.428553728,0.163577856,813.298909184,1493.84331264,0.5444338789097597,0.0,0.0,144.95514624,480.0,False,PASS,0.0017568462136147843
Llama-3.1-405B,W1,2000,512,256,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,8.257536,11.428429824,1.308622848,824.443830272,624.95514624,1.3192048025081642,199.488684032,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.013884025031276755
Llama-3.1-405B,W1,2000,512,256,8,M3D_GPU,EVALUATED,811.7067776,8.257536,11.428429824,1.308622848,824.443830272,1493.84331264,0.5518944478956087,0.0,0.0,144.95514624,480.0,False,PASS,0.013884025031276755
Llama-3.1-405B,W1,2000,512,256,8,M3D_MAC_NMP,EVALUATED,811.7067776,8.257536,11.428429824,1.308622848,824.443830272,1493.84331264,0.5518944478956087,0.0,0.0,144.95514624,480.0,False,PASS,0.013884025031276755
Llama-3.1-405B,W2,20000,512,256,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,10.32192,10.718281728,0.163577856,822.588637184,624.95514624,1.3162362805283683,197.633490944,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.013032533002773362
Llama-3.1-405B,W2,20000,512,256,1,M3D_GPU,EVALUATED,811.7067776,10.32192,10.718281728,0.163577856,822.588637184,1493.84331264,0.5506525552069295,0.0,0.0,144.95514624,480.0,False,PASS,0.013032533002773362
Llama-3.1-405B,W2,20000,512,256,1,M3D_MAC_NMP,EVALUATED,811.7067776,10.32192,10.718281728,0.163577856,822.588637184,1493.84331264,0.5506525552069295,0.0,0.0,144.95514624,480.0,False,PASS,0.013032533002773362
Llama-3.1-405B,W2,20000,512,256,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,82.57536,85.746253824,1.308622848,898.761654272,624.95514624,1.4381218551112638,273.806508032,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.09554400154841011
Llama-3.1-405B,W2,20000,512,256,8,M3D_GPU,EVALUATED,811.7067776,82.57536,85.746253824,1.308622848,898.761654272,1493.84331264,0.6016438582729672,0.0,0.0,144.95514624,480.0,False,PASS,0.09554400154841011
Llama-3.1-405B,W2,20000,512,256,8,M3D_MAC_NMP,EVALUATED,811.7067776,82.57536,85.746253824,1.308622848,898.761654272,1493.84331264,0.6016438582729672,0.0,0.0,144.95514624,480.0,False,PASS,0.09554400154841011
Llama-3.1-405B,W3,126000,512,512,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,65.028096,65.556578304,0.163577856,877.42693376,624.95514624,1.403983852343611,252.47178752,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.0747285041177235
Llama-3.1-405B,W3,126000,512,512,1,M3D_GPU,EVALUATED,811.7067776,65.028096,65.556578304,0.163577856,877.42693376,1493.84331264,0.5873620923531558,0.0,0.0,144.95514624,480.0,False,PASS,0.0747285041177235
Llama-3.1-405B,W3,126000,512,512,1,M3D_MAC_NMP,EVALUATED,811.7067776,65.028096,65.556578304,0.163577856,877.42693376,1493.84331264,0.5873620923531558,0.0,0.0,144.95514624,480.0,False,PASS,0.0747285041177235
Llama-3.1-405B,W3,126000,512,512,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,811.7067776,520.224768,524.452626432,1.308622848,1337.46802688,624.95514624,2.1401024296332065,712.51288064,0.0,144.95514624,480.0,False,TOTAL_CAPACITY_GATE,0.3925075293033224
Llama-3.1-405B,W3,126000,512,512,8,M3D_GPU,EVALUATED,811.7067776,520.224768,524.452626432,1.308622848,1337.46802688,1493.84331264,0.8953201554427785,0.0,0.0,144.95514624,480.0,False,PASS,0.3925075293033224
Llama-3.1-405B,W3,126000,512,512,8,M3D_MAC_NMP,EVALUATED,811.7067776,520.224768,524.452626432,1.308622848,1337.46802688,1493.84331264,0.8953201554427785,0.0,0.0,144.95514624,480.0,False,PASS,0.3925075293033224
