model,context,batch,decode_context,boundary_bytes,array_including_MIV_s,boundary_active_service_s,gpu_related_service_s,decode_step_s
Llama-3.1-8B,LC20K,8,20134,36122460160.0,0.0010992433501620343,0.012683050199064785,0.007821648220000001,0.01283507155185302
Llama-3.1-8B,LC20K,8,20135,36123508736.0,0.0010992433501620343,0.012683358986707482,0.007821880326666674,0.012835387166162391
Llama-3.1-8B,LC20K,8,20136,36124557312.0,0.0010992433501620343,0.012683667774350166,0.007822112433333335,0.012835702780471749
Llama-3.1-8B,LC20K,8,20137,36125605888.0,0.0010992433501620343,0.012683976561992848,0.007822344539999984,0.012836018394781093
Llama-3.1-8B,LC20K,8,20138,36126654464.0,0.0010992433501620343,0.01268428534963553,0.007822576646666655,0.012836334009090431
Llama-3.1-8B,LC20K,8,20139,36127703040.0,0.0010992433501620343,0.012684594137278227,0.00782280875333333,0.012836649623399792
Llama-3.1-8B,LC20K,8,20140,36128751616.0,0.0010992433501620343,0.012684902924920912,0.007823040859999998,0.012836965237709148
Llama-3.1-8B,LC20K,8,20141,36129800192.0,0.0010992433501620343,0.012685211712563633,0.007823272966666663,0.012837280852018546
Llama-3.1-8B,LC20K,8,20142,36130848768.0,0.0010992433501620343,0.012685520500206314,0.00782350507333332,0.012837596466327893
Llama-3.1-8B,LC20K,8,20143,36131897344.0,0.0010992433501620343,0.012685829287848997,0.007823737179999995,0.012837912080637245
Llama-3.1-8B,LC20K,8,20144,36132945920.0,0.0010992433501620343,0.012686138075491694,0.007823969286666668,0.012838227694946594
Llama-3.1-8B,LC20K,8,20145,36133994496.0,0.0010992433501620343,0.012686446863134379,0.007824201393333327,0.012838543309255945
Llama-3.1-8B,LC20K,8,20146,36135043072.0,0.0010992433501620343,0.01268675565077706,0.00782443349999999,0.012838858923565297
Llama-3.1-8B,LC20K,8,20147,36136091648.0,0.0010992433501620343,0.012687064438419743,0.007824665606666656,0.012839174537874655
Llama-3.1-8B,LC20K,8,20148,36137140224.0,0.0010992433501620343,0.012687373226062441,0.007824897713333336,0.012839490152184017
Llama-3.1-8B,LC20K,8,20149,36138188800.0,0.0010992433501620343,0.012687682013705124,0.007825129820000004,0.012839805766493354
Llama-3.1-8B,LC20K,8,20150,36139237376.0,0.0010992433501620343,0.012687990801347845,0.007825361926666665,0.012840121380802748
Llama-3.1-8B,LC20K,8,20151,36140285952.0,0.0010992433501620343,0.01268829958899053,0.007825594033333317,0.012840436995112099
Llama-3.1-8B,LC20K,8,20152,36141334528.0,0.0010992433501620343,0.012688608376633225,0.007825826139999987,0.012840752609421467
Llama-3.1-8B,LC20K,8,20153,36142383104.0,0.0010992433501620343,0.01268891716427591,0.007826058246666674,0.012841068223730824
Llama-3.1-8B,LC20K,8,20154,36143431680.0,0.0010992433501620343,0.012689225951918591,0.00782629035333333,0.012841383838040168
Llama-3.1-8B,LC20K,8,20155,36144480256.0,0.0010992433501620343,0.012689534739561276,0.007826522459999994,0.012841699452349507
Llama-3.1-8B,LC20K,8,20156,36145528832.0,0.0010992433501620343,0.012689843527203972,0.007826754566666662,0.012842015066658876
Llama-3.1-8B,LC20K,8,20157,36146577408.0,0.0010992433501620343,0.012690152314846657,0.007826986673333338,0.012842330680968225
Llama-3.1-8B,LC20K,8,20158,36147625984.0,0.0010992433501620343,0.012690461102489376,0.007827218780000002,0.012842646295277621
Llama-3.1-8B,LC20K,8,20159,36148674560.0,0.0010992433501620343,0.012690769890132061,0.007827450886666658,0.012842961909586968
Llama-3.1-8B,LC64K,1,64128,23414841344.0,0.0009250517461808203,0.008941137090125357,0.004990192000833339,0.009000488689076474
Llama-3.1-8B,LC64K,1,64129,23414972416.0,0.0009250517461808203,0.008941175688580692,0.004990221014166674,0.00900052814086515
Llama-3.1-8B,LC64K,1,64130,23415103488.0,0.0009250517461808203,0.008941214287036023,0.004990250027500014,0.009000567592653807
Llama-3.1-8B,LC64K,1,64131,23415234560.0,0.0009250517461808203,0.008941252885491371,0.004990279040833345,0.009000607044442485
Llama-3.1-8B,LC64K,1,64132,23415365632.0,0.0009250517461808203,0.008941291483946703,0.004990308054166681,0.009000646496231158
Llama-3.1-8B,LC64K,1,64133,23415496704.0,0.0009250517461808203,0.008941330082402027,0.00499033706750001,0.009000685948019812
Llama-3.1-8B,LC64K,1,64134,23415627776.0,0.0009250517461808203,0.008941368680857356,0.004990366080833348,0.009000725399808477
Llama-3.1-8B,LC64K,1,64135,23415758848.0,0.0009250517461808203,0.008941408281996126,0.004990395094166679,0.009000764851597162
Llama-3.1-8B,LC64K,1,64136,23415889920.0,0.0009250517461808203,0.00894144688045146,0.004990424107500009,0.009000804303385837
Llama-3.1-8B,LC64K,1,64137,23416020992.0,0.0009250517461808203,0.008941485478906792,0.00499045312083334,0.009000843755174496
Llama-3.1-8B,LC64K,1,64138,23416152064.0,0.0009250517461808203,0.00894152407736214,0.004990482134166675,0.009000883206963182
Llama-3.1-8B,LC64K,1,64139,23416283136.0,0.0009250517461808203,0.008941562675817473,0.004990511147500015,0.009000922658751843
Llama-3.1-8B,LC64K,1,64140,23416414208.0,0.0009250517461808203,0.008941601274272798,0.004990540160833351,0.009000962110540509
Llama-3.1-8B,LC64K,1,64141,23416545280.0,0.0009250517461808203,0.008941639872728127,0.004990569174166682,0.00900100156232917
Llama-3.1-8B,LC64K,1,64142,23416676352.0,0.0009250517461808203,0.008941678471183477,0.004990598187500013,0.009001041014117842
Llama-3.1-8B,LC64K,1,64143,23416807424.0,0.0009250517461808203,0.008941717069638817,0.004990627200833347,0.009001080465906525
Llama-3.1-8B,LC64K,1,64144,23416938496.0,0.0009250517461808203,0.008941755668094149,0.0049906562141666805,0.009001119917695186
Llama-3.1-8B,LC64K,1,64145,23417069568.0,0.0009250517461808203,0.008941794266549497,0.004990685227500015,0.00900115936948387
Llama-3.1-8B,LC64K,1,64146,23417200640.0,0.0009250517461808203,0.008941832865004828,0.004990714240833346,0.009001198821272531
Llama-3.1-8B,LC64K,1,64147,23417331712.0,0.0009250517461808203,0.008941871463460153,0.004990743254166676,0.009001238273061195
Llama-3.1-8B,LC64K,1,64148,23417462784.0,0.0009250517461808203,0.008941910061915484,0.0049907722675000075,0.009001277724849856
Llama-3.1-8B,LC64K,1,64149,23417593856.0,0.0009250517461808203,0.008941948660370833,0.004990801280833343,0.00900131717663854
Llama-3.1-8B,LC64K,1,64150,23417724928.0,0.0009250517461808203,0.008941987258826164,0.004990830294166672,0.0090013566284272
Llama-3.1-8B,LC64K,1,64151,23417856000.0,0.0009250517461808203,0.008942025857281499,0.004990859307500008,0.009001396080215877
Llama-3.1-8B,LC64K,1,64152,23417987072.0,0.0009250517461808203,0.008942064455736854,0.004990888320833338,0.00900143553200456
Llama-3.1-8B,LC64K,1,64153,23418118144.0,0.0009250517461808203,0.008942103054192184,0.004990917334166671,0.009001474983793216
Llama-3.1-8B,LC64K,1,64154,23418249216.0,0.0009250517461808203,0.00894214165264751,0.0049909463475000075,0.009001514435581883
Llama-3.1-8B,LC64K,1,64155,23418380288.0,0.0009250517461808203,0.00894218025110284,0.004990975360833338,0.009001553887370542
Llama-3.1-8B,LC64K,1,64156,23418511360.0,0.0009250517461808203,0.00894221884955819,0.004991004374166673,0.009001593339159229
Llama-3.1-8B,LC64K,1,64157,23418642432.0,0.0009250517461808203,0.00894225744801352,0.004991033387500002,0.00900163279094789
Llama-3.1-8B,LC64K,1,64158,23418773504.0,0.0009250517461808203,0.008942296046468855,0.004991062400833349,0.009001672242736566
Llama-3.1-8B,LC64K,1,64159,23418904576.0,0.0009250517461808203,0.008942334644924185,0.004991091414166674,0.009001711694525223
Llama-3.1-8B,LC64K,8,64128,82253512704.0,0.0017498775096991043,0.026267850831814075,0.018032948913333235,0.0267202045612968
Llama-3.1-8B,LC64K,8,64129,82254561280.0,0.0017498775096991043,0.026268159619456718,0.018033181019999896,0.02672052017560611
Llama-3.1-8B,LC64K,8,64130,82255609856.0,0.0017498775096991043,0.026268468407099465,0.018033413126666564,0.026720835789915534
Llama-3.1-8B,LC64K,8,64131,82256658432.0,0.0017498775096991043,0.02626877719474211,0.01803364523333323,0.02672115140422485
Llama-3.1-8B,LC64K,8,64132,82257707008.0,0.0017498775096991043,0.026269085982384834,0.018033877339999897,0.026721467018534246
Llama-3.1-8B,LC64K,8,64133,82258755584.0,0.0017498775096991043,0.026269394770027477,0.01803410944666654,0.026721782632843548
Llama-3.1-8B,LC64K,8,64134,82259804160.0,0.0017498775096991043,0.0262697035576702,0.01803434155333323,0.026722098247152947
Llama-3.1-8B,LC64K,8,64135,82260852736.0,0.0017498775096991043,0.026270012345312926,0.01803457365999991,0.026722413861462343
Llama-3.1-8B,LC64K,8,64136,82261901312.0,0.0017498775096991043,0.026270321132955562,0.01803480576666656,0.026722729475771607
Llama-3.1-8B,LC64K,8,64137,82262949888.0,0.0017498775096991043,0.026270629920598292,0.018035037873333232,0.02672304509008101
Llama-3.1-8B,LC64K,8,64138,82263998464.0,0.0017498775096991043,0.026270938708240932,0.018035269979999897,0.026723360704390322
Llama-3.1-8B,LC64K,8,64139,82265047040.0,0.0017498775096991043,0.026271247495883686,0.018035502086666565,0.02672367631869974
Llama-3.1-8B,LC64K,8,64140,82266095616.0,0.0017498775096991043,0.026271556283526322,0.018035734193333226,0.026723991933009044
Llama-3.1-8B,LC64K,8,64141,82267144192.0,0.0017498775096991043,0.02627186507116905,0.0180359662999999,0.02672430754731845
Llama-3.1-8B,LC64K,8,64142,82268192768.0,0.0017498775096991043,0.02627217385881169,0.018036198406666565,0.02672462316162776
Llama-3.1-8B,LC64K,8,64143,82269241344.0,0.0017498775096991043,0.026272482646454414,0.018036430513333226,0.026724938775937155
Llama-3.1-8B,LC64K,8,64144,82270289920.0,0.0017498775096991043,0.02627279143409714,0.018036662619999935,0.026725254390246554
Llama-3.1-8B,LC64K,8,64145,82271338496.0,0.0017498775096991043,0.026273100221739783,0.01803689472666658,0.026725570004555856
Llama-3.1-8B,LC64K,8,64146,82272387072.0,0.0017498775096991043,0.026273409009382506,0.018037126833333247,0.026725885618865252
Llama-3.1-8B,LC64K,8,64147,82273435648.0,0.0017498775096991043,0.02627371779702515,0.0180373589399999,0.02672620123317454
Llama-3.1-8B,LC64K,8,64148,82274484224.0,0.0017498775096991043,0.026274026584667896,0.018037591046666565,0.02672651684748395
Llama-3.1-8B,LC64K,8,64149,82275532800.0,0.0017498775096991043,0.02627433537231054,0.018037823153333226,0.026726832461793255
Llama-3.1-8B,LC64K,8,64150,82276581376.0,0.0017498775096991043,0.026274644159953266,0.018038055259999866,0.026727148076102648
Llama-3.1-8B,LC64K,8,64151,82277629952.0,0.0017498775096991043,0.026274952947595902,0.01803828736666654,0.026727463690411953
Llama-3.1-8B,LC64K,8,64152,82278678528.0,0.0017498775096991043,0.026275261735238625,0.018038519473333202,0.02672777930472135
Llama-3.1-8B,LC64K,8,64153,82279727104.0,0.0017498775096991043,0.02627557052288135,0.018038751579999915,0.02672809491903075
Llama-3.1-8B,LC64K,8,64154,82280775680.0,0.0017498775096991043,0.026275879310523994,0.01803898368666658,0.026728410533340068
Llama-3.1-8B,LC64K,8,64155,82281824256.0,0.0017498775096991043,0.026276188098166717,0.01803921579333325,0.026728726147649463
Llama-3.1-8B,LC64K,8,64156,82282872832.0,0.0017498775096991043,0.026276496885809384,0.01803944789999989,0.02672904176195879
Llama-3.1-8B,LC64K,8,64157,82283921408.0,0.0017498775096991043,0.02627680567345211,0.01803968000666655,0.026729357376268185
Llama-3.1-8B,LC64K,8,64158,82284969984.0,0.0017498775096991043,0.026277114461094753,0.01803991211333324,0.0267296729905775
Llama-3.1-8B,LC64K,8,64159,82286018560.0,0.0017498775096991043,0.026277423248737476,0.018040144219999894,0.026729988604886856
Llama-3.1-8B,LC126K,1,126128,31541305344.0,0.001037763503376191,0.01133424360195274,0.006789018667500023,0.011446500197310668
Llama-3.1-8B,LC126K,1,126129,31541436416.0,0.001037763503376191,0.011334282200408089,0.006789047680833364,0.011446539649099342
Llama-3.1-8B,LC126K,1,126130,31541567488.0,0.001037763503376191,0.011334320798863444,0.006789076694166692,0.01144657910088803
Llama-3.1-8B,LC126K,1,126131,31541698560.0,0.001037763503376191,0.011334359397318772,0.006789105707500031,0.011446618552676703
Llama-3.1-8B,LC126K,1,126132,31541829632.0,0.001037763503376191,0.011334397995774115,0.006789134720833354,0.011446658004465378
Llama-3.1-8B,LC126K,1,126133,31541960704.0,0.001037763503376191,0.011334436594229445,0.006789163734166694,0.011446697456254035
Llama-3.1-8B,LC126K,1,126134,31542091776.0,0.001037763503376191,0.01133447519268477,0.006789192747500022,0.011446736908042692
Llama-3.1-8B,LC126K,1,126135,31542222848.0,0.001037763503376191,0.011334513791140097,0.00678922176083336,0.011446776359831363
Llama-3.1-8B,LC126K,1,126136,31542353920.0,0.001037763503376191,0.01133455238959544,0.0067892507741666875,0.01144681581162004
Llama-3.1-8B,LC126K,1,126137,31542484992.0,0.001037763503376191,0.011334590988050775,0.006789279787500026,0.01144685526340872
Llama-3.1-8B,LC126K,1,126138,31542616064.0,0.001037763503376191,0.011334629586506129,0.006789308800833376,0.011446894715197388
Llama-3.1-8B,LC126K,1,126139,31542747136.0,0.001037763503376191,0.011334668184961472,0.006789337814166704,0.011446934166986064
Llama-3.1-8B,LC126K,1,126140,31542878208.0,0.001037763503376191,0.0113347067834168,0.006789366827500041,0.01144697361877472
Llama-3.1-8B,LC126K,1,126141,31543009280.0,0.001037763503376191,0.011334745381872124,0.006789395840833369,0.011447013070563379
Llama-3.1-8B,LC126K,1,126142,31543140352.0,0.001037763503376191,0.011334783980327454,0.006789424854166709,0.011447052522352051
Llama-3.1-8B,LC126K,1,126143,31543271424.0,0.001037763503376191,0.011334822578782797,0.006789453867500033,0.011447091974140726
Llama-3.1-8B,LC126K,1,126144,31543402496.0,0.001037763503376191,0.011334861177238125,0.006789482880833372,0.011447131425929381
Llama-3.1-8B,LC126K,1,126145,31543533568.0,0.001037763503376191,0.01133489977569348,0.0067895118941667,0.01144717087771807
Llama-3.1-8B,LC126K,1,126146,31543664640.0,0.001037763503376191,0.01133493837414883,0.006789540907500037,0.01144721032950676
Llama-3.1-8B,LC126K,1,126147,31543795712.0,0.001037763503376191,0.011334976972604157,0.006789569920833373,0.011447249781295422
Llama-3.1-8B,LC126K,1,126148,31543926784.0,0.001037763503376191,0.011335015571059481,0.006789598934166711,0.011447289233084074
Llama-3.1-8B,LC126K,1,126149,31544057856.0,0.001037763503376191,0.011335054169514809,0.006789627947500039,0.011447328684872736
Llama-3.1-8B,LC126K,1,126150,31544188928.0,0.001037763503376191,0.011335092767970154,0.006789656960833366,0.011447368136661413
Llama-3.1-8B,LC126K,1,126151,31544320000.0,0.001037763503376191,0.011335131366425482,0.006789685974166705,0.01144740758845007
Llama-3.1-8B,LC126K,1,126152,31544451072.0,0.001037763503376191,0.011335169964880838,0.006789714987500033,0.011447447040238758
Llama-3.1-8B,LC126K,1,126153,31544582144.0,0.001037763503376191,0.011335208563336165,0.006789744000833372,0.011447486492027429
Llama-3.1-8B,LC126K,1,126154,31544713216.0,0.001037763503376191,0.011335247161791512,0.0067897730141667,0.011447525943816105
Llama-3.1-8B,LC126K,1,126155,31544844288.0,0.001037763503376191,0.011335285760246838,0.0067898020275000345,0.01144756539560476
Llama-3.1-8B,LC126K,1,126156,31544975360.0,0.001037763503376191,0.011335324358702166,0.0067898310408333615,0.011447604847393421
Llama-3.1-8B,LC126K,1,126157,31545106432.0,0.001037763503376191,0.01133536295715751,0.006789860054166701,0.011447644299182108
Llama-3.1-8B,LC126K,1,126158,31545237504.0,0.001037763503376191,0.011335401555612839,0.006789889067500027,0.011447683750970768
Llama-3.1-8B,LC126K,1,126159,31545368576.0,0.001037763503376191,0.01133544115675161,0.006789918080833366,0.011447723202759453
Llama-3.1-8B,LC126K,8,126128,147265224704.0,0.002661804471166451,0.045414015538291434,0.032423562246666614,0.04628829421388922
Llama-3.1-8B,LC126K,8,126129,147266273280.0,0.002661804471166451,0.04541432432593425,0.03242379435333327,0.04628860982819874
Llama-3.1-8B,LC126K,8,126130,147267321856.0,0.002661804471166451,0.04541463311357686,0.03242402645999993,0.04628892544250799
Llama-3.1-8B,LC126K,8,126131,147268370432.0,0.002661804471166451,0.045414941901219544,0.0324242585666666,0.046289241056817386
Llama-3.1-8B,LC126K,8,126132,147269419008.0,0.002661804471166451,0.04541525068886229,0.032424490673333216,0.04628955667112673
Llama-3.1-8B,LC126K,8,126133,147270467584.0,0.002661804471166451,0.04541555947650499,0.03242472277999991,0.04628987228543614
Llama-3.1-8B,LC126K,8,126134,147271516160.0,0.002661804471166451,0.0454158682641476,0.032424954886666565,0.04629018789974539
Llama-3.1-8B,LC126K,8,126135,147272564736.0,0.002661804471166451,0.04541617705179028,0.03242518699333322,0.04629050351405477
Llama-3.1-8B,LC126K,8,126136,147273613312.0,0.002661804471166451,0.04541648650649236,0.03242541909999989,0.04629081912836416
Llama-3.1-8B,LC126K,8,126137,147274661888.0,0.002661804471166451,0.045416790342599565,0.03242565120666655,0.04629113474267355
Llama-3.1-8B,LC126K,8,126138,147275710464.0,0.002661804471166451,0.04541709913024225,0.03242588331333322,0.04629145035698288
Llama-3.1-8B,LC126K,8,126139,147276759040.0,0.002661804471166451,0.045417407917885,0.03242611541999989,0.04629176597129227
Llama-3.1-8B,LC126K,8,126140,147277807616.0,0.002661804471166451,0.04541771670552768,0.032426347526666545,0.04629208158560165
Llama-3.1-8B,LC126K,8,126141,147278856192.0,0.002661804471166451,0.0454180254931703,0.03242657963333321,0.04629239719991091
Llama-3.1-8B,LC126K,8,126142,147279904768.0,0.002661804471166451,0.04541833428081299,0.03242681173999989,0.0462927128142203
Llama-3.1-8B,LC126K,8,126143,147280953344.0,0.002661804471166451,0.045418643068455736,0.0324270438466665,0.046293028428529656
Llama-3.1-8B,LC126K,8,126144,147282001920.0,0.002661804471166451,0.04541895185609842,0.032427275953333175,0.046293344042839045
Llama-3.1-8B,LC126K,8,126145,147283050496.0,0.002661804471166451,0.04541926064374103,0.03242750805999984,0.046293659657148295
Llama-3.1-8B,LC126K,8,126146,147284099072.0,0.002661804471166451,0.04541956943138385,0.0324277401666665,0.046293975271457816
Llama-3.1-8B,LC126K,8,126147,147285147648.0,0.002661804471166451,0.04541987821902653,0.03242797227333326,0.046294290885767135
Llama-3.1-8B,LC126K,8,126148,147286196224.0,0.002661804471166451,0.045420187006669145,0.03242820437999992,0.04629460650007646
Llama-3.1-8B,LC126K,8,126149,147287244800.0,0.002661804471166451,0.04542049579431183,0.032428436486666594,0.04629492211438578
Llama-3.1-8B,LC126K,8,126150,147288293376.0,0.002661804471166451,0.04542080458195459,0.03242866859333325,0.046295237728695184
Llama-3.1-8B,LC126K,8,126151,147289341952.0,0.002661804471166451,0.04542111336959727,0.032428900699999916,0.04629555334300457
Llama-3.1-8B,LC126K,8,126152,147290390528.0,0.002661804471166451,0.045421422157239884,0.032429132806666594,0.046295868957313815
Llama-3.1-8B,LC126K,8,126153,147291439104.0,0.002661804471166451,0.04542173094488257,0.03242936491333326,0.046296184571623204
Llama-3.1-8B,LC126K,8,126154,147292487680.0,0.002661804471166451,0.04542203973252536,0.03242959701999992,0.04629650018593262
Llama-3.1-8B,LC126K,8,126155,147293536256.0,0.002661804471166451,0.04542234852016799,0.03242982912666654,0.04629681580024195
Llama-3.1-8B,LC126K,8,126156,147294584832.0,0.002661804471166451,0.04542265730781068,0.0324300612333332,0.046297131414551274
Llama-3.1-8B,LC126K,8,126157,147295633408.0,0.002661804471166451,0.045422966095453425,0.032430293339999874,0.04629744702886073
Llama-3.1-8B,LC126K,8,126158,147296681984.0,0.002661804471166451,0.04542327488309612,0.032430525446666525,0.04629776264317005
Llama-3.1-8B,LC126K,8,126159,147297730560.0,0.002661804471166451,0.04542358367073873,0.03243075755333319,0.04629807825747938
Llama-3.1-70B,LC20K,1,20128,145599315968.0,0.004866279553490538,0.04735078280865493,0.030517703040833545,0.04745149571450482
Llama-3.1-70B,LC20K,1,20129,145599643648.0,0.004866279553490538,0.047350879304793064,0.030517779840833495,0.04745159647730958
Llama-3.1-70B,LC20K,1,20130,145599971328.0,0.004866279553490538,0.047350975800931554,0.030517856640833608,0.04745169724011461
Llama-3.1-70B,LC20K,1,20131,145600299008.0,0.004866279553490538,0.04735107229706986,0.030517933440833613,0.047451798002919716
Llama-3.1-70B,LC20K,1,20132,145600626688.0,0.004866279553490538,0.047351168793208345,0.030518010240833594,0.047451898765724844
Llama-3.1-70B,LC20K,1,20133,145600954368.0,0.004866279553490538,0.04735126528934649,0.03051808704083354,0.0474519995285296
Llama-3.1-70B,LC20K,1,20134,145601282048.0,0.004866279553490538,0.047351362788168386,0.030518163840833466,0.04745210029133481
Llama-3.1-70B,LC20K,1,20135,145601609728.0,0.004866279553490538,0.047351459284306556,0.030518240640833652,0.04745220105413959
Llama-3.1-70B,LC20K,1,20136,145601937408.0,0.004866279553490538,0.04735155578044504,0.030518317440833706,0.047452301816944716
Llama-3.1-70B,LC20K,1,20137,145602265088.0,0.004866279553490538,0.04735165227658318,0.030518394240833656,0.04745240257974965
Llama-3.1-70B,LC20K,1,20138,145602592768.0,0.004866279553490538,0.047351748772721663,0.0305184710408335,0.04745250334255468
Llama-3.1-70B,LC20K,1,20139,145602920448.0,0.004866279553490538,0.04735184526886015,0.030518547840833507,0.047452604105359966
Llama-3.1-70B,LC20K,1,20140,145603248128.0,0.004866279553490538,0.04735194176499829,0.030518624640833752,0.04745270486816474
Llama-3.1-70B,LC20K,1,20141,145603575808.0,0.004866279553490538,0.04735203826113677,0.03051870144083357,0.04745280563096975
Llama-3.1-70B,LC20K,1,20142,145603903488.0,0.004866279553490538,0.04735213475727494,0.03051877824083359,0.04745290639377472
Llama-3.1-70B,LC20K,1,20143,145604231168.0,0.004866279553490538,0.04735223125341343,0.030518855040833556,0.047453007156579845
Llama-3.1-70B,LC20K,1,20144,145604558848.0,0.004866279553490538,0.047352327749551566,0.030518931840833572,0.0474531079193846
Llama-3.1-70B,LC20K,1,20145,145604886528.0,0.004866279553490538,0.047352424245690056,0.030519008640833428,0.04745320868218981
Llama-3.1-70B,LC20K,1,20146,145605214208.0,0.004866279553490538,0.047352520741828365,0.030519085440833635,0.04745330944499474
Llama-3.1-70B,LC20K,1,20147,145605541888.0,0.004866279553490538,0.04735261723796686,0.030519162240833668,0.04745341020779987
Llama-3.1-70B,LC20K,1,20148,145605869568.0,0.004866279553490538,0.04735271373410499,0.030519239040833614,0.047453510970604795
Llama-3.1-70B,LC20K,1,20149,145606197248.0,0.004866279553490538,0.04735281023024352,0.030519315840833467,0.04745361173340987
