model,context,batch,old_formal_tokens_per_s,new_tokens_per_s,old_formal_bandwidth_TBps,old_bandwidth_semantics,old_uniform_achieved_TBps,new_achieved_TBps,new_utilization_pct,tokens_per_J
Llama-3.1-8B,LC20K,1,186.2416435670891,171.38374894809758,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,2.4366582781949946,3.162579446136822,93.13253898575562,0.4415665036923046
Llama-3.1-8B,LC20K,8,680.2861147935259,650.8477629023718,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,2.8482159948074677,3.277799625652121,96.52557560140876,1.6062762795284877
Llama-3.1-8B,LC64K,1,139.51650425891285,131.16839439379135,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,2.6188284432025206,3.2169996043013898,94.73511928079407,0.3301613992026638
Llama-3.1-8B,LC64K,8,303.01903138136817,293.73186724267305,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.1313859170619622,3.342601093505087,98.43386765665582,0.7181685721963378
Llama-3.1-8B,LC126K,1,102.6013256932336,97.66775176156396,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,2.7828651879119723,3.261224717090761,96.0374729800938,0.24318015240974428
Llama-3.1-8B,LC126K,8,170.09768633883738,165.66649506911622,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2427426943479736,3.365869983815559,99.11909655632581,0.4036807134004055
Llama-3.1-70B,LC20K,1,22.591411179105723,21.567493447243404,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.0749184176461792,3.253909053331584,95.82203923309639,0.053984712336708485
Llama-3.1-70B,LC20K,8,122.79600100598881,118.06433297972795,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.146574384484716,3.287031213841616,96.79743003593016,0.28921375201557403
Llama-3.1-70B,LC64K,1,20.464175758246732,19.601716897015574,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.101320762623098,3.2662026249747758,96.1840638272081,0.04860853716858797
Llama-3.1-70B,LC64K,8,76.63702819204136,73.72782936884933,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2357475843243613,3.3268207135537784,97.96916253981819,0.18053218307542507
Llama-3.1-70B,LC126K,1,17.928414250244085,17.184504327541383,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.131916303821171,3.280304902067459,96.59935169380276,0.042543137944793086
Llama-3.1-70B,LC126K,8,50.10014519632013,48.21733061431644,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2893150048993895,3.350365640422101,98.66252024255019,0.11803347521029331
Llama-3.1-405B,LC20K,1,4.023802208432744,3.920245488841341,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2084058083111984,3.3154593261625322,97.63458917267639,0.009667037396234654
Llama-3.1-405B,LC20K,8,26.093988916452968,25.41708670092228,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2229491571491313,3.32189305723625,97.82405151512562,0.061545146032718205
Llama-3.1-405B,LC64K,1,3.9151612938357214,3.8084564538279264,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2131954607412663,3.3175794504902725,97.69702319685531,0.009338866500344668
Llama-3.1-405B,LC64K,8,21.2375704564132,20.53407025328275,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2509807510208932,3.3340830477943193,98.18302582398358,0.04994682564387488
Llama-3.1-405B,LC126K,1,3.7382591867687194,3.6356317906626647,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.219543475137871,3.3203840294404436,97.77961323541847,0.008901360820312088
Llama-3.1-405B,LC126K,8,16.825176593389923,16.159997715861294,3.3957835581187483,AGGREGATE_CLOSURE_NOT_MEASURED,3.2778752538244054,3.3457991013535726,98.52804350130998,0.039468491512997486
