model,context,batch,path,raw_prefill_s,formal_prefill_s,source,physical_decode_changed,previous_aggregate_prefill_s,corrected_prefill_s,raw_GPU_static_J,corrected_GPU_static_J
Llama-3.1-70B,LC64K,1,M3D_NMP_CPA,0.05574578143232,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.05574578143232,4.12518782599168,4.12518782599168
Llama-3.1-70B,LC64K,8,M3D_GPU,0.44596625145856,0.44596625145856,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,0.44596625145856,,,
Llama-3.1-70B,LC64K,8,M3D_NMP_UNIFORM,0.44596625145856,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.44596625145856,33.00150260793344,33.00150260793344
Llama-3.1-70B,LC64K,8,M3D_NMP_CPA,0.44596625145856,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.44596625145856,33.00150260793344,33.00150260793344
Llama-3.1-70B,LC126K,1,M3D_GPU,0.08546542120374857,0.08546542120374857,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,0.08546542120374857,,,
Llama-3.1-70B,LC126K,1,M3D_NMP_UNIFORM,0.08546542120374857,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.08546542120374857,6.324441169077394,6.324441169077394
Llama-3.1-70B,LC126K,1,M3D_NMP_CPA,0.08546542120374857,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.08546542120374857,6.324441169077394,6.324441169077394
Llama-3.1-70B,LC126K,8,M3D_GPU,0.6837233696299886,0.6837233696299886,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,0.6837233696299886,,,
Llama-3.1-70B,LC126K,8,M3D_NMP_UNIFORM,0.6837233696299886,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.6837233696299886,50.59552935261915,50.59552935261915
Llama-3.1-70B,LC126K,8,M3D_NMP_CPA,0.6837233696299886,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.6837233696299886,50.59552935261915,50.59552935261915
Llama-3.1-405B,LC20K,1,M3D_GPU,0.25933522914068524,0.25933522914068524,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,0.24530893982344618,,,
Llama-3.1-405B,LC20K,1,M3D_NMP_UNIFORM,0.2590341021761293,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.24530893982344618,19.16852356103357,18.152861546935018
Llama-3.1-405B,LC20K,1,M3D_NMP_CPA,0.2590341021761293,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.24530893982344618,19.16852356103357,18.152861546935018
Llama-3.1-405B,LC20K,8,M3D_GPU,1.4175221272693028,1.4175221272693028,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,1.4175221272693028,,,
Llama-3.1-405B,LC20K,8,M3D_NMP_UNIFORM,1.4175221272693028,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,1.4175221272693028,104.8966374179284,104.8966374179284
Llama-3.1-405B,LC20K,8,M3D_NMP_CPA,1.4175221272693028,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,1.4175221272693028,104.8966374179284,104.8966374179284
Llama-3.1-405B,LC64K,1,M3D_GPU,0.26602241211555167,0.26602241211555167,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,0.25199612221047096,,,
Llama-3.1-405B,LC64K,1,M3D_NMP_UNIFORM,0.26571299217573896,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.25199612221047096,19.66276142100468,18.64771304357485
Llama-3.1-405B,LC64K,1,M3D_NMP_CPA,0.26571299217573896,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.25199612221047096,19.66276142100468,18.64771304357485
Llama-3.1-405B,LC64K,8,M3D_GPU,1.9490243301493027,1.9490243301493027,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,1.9490243301493027,,,
Llama-3.1-405B,LC64K,8,M3D_NMP_UNIFORM,1.9490243301493027,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,1.9490243301493027,144.2278004310484,144.2278004310484
Llama-3.1-405B,LC64K,8,M3D_NMP_CPA,1.9490243301493027,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,1.9490243301493027,144.2278004310484,144.2278004310484
Llama-3.1-405B,LC126K,1,M3D_GPU,0.33724490654866285,0.33724490654866285,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,0.33724490654866285,,,
Llama-3.1-405B,LC126K,1,M3D_NMP_UNIFORM,0.33724490654866285,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.33724490654866285,24.95612308460105,24.95612308460105
Llama-3.1-405B,LC126K,1,M3D_NMP_CPA,0.33724490654866285,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,0.33724490654866285,24.95612308460105,24.95612308460105
Llama-3.1-405B,LC126K,8,M3D_GPU,2.697959252389303,2.697959252389303,EXACT_PORT_DIAGNOSTIC_PHYSICAL_PREFILL_REUSE,True,2.697959252389303,,,
Llama-3.1-405B,LC126K,8,M3D_NMP_UNIFORM,2.697959252389303,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,2.697959252389303,199.6489846768084,199.6489846768084
Llama-3.1-405B,LC126K,8,M3D_NMP_CPA,2.697959252389303,,EXISTING_CORRECTED_GPU_AGGREGATE_STREAMING_HELPER,False,,2.697959252389303,199.6489846768084,199.6489846768084
