model,context,batch,path,status,external_capacity_mode,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,HBM_resident_GB,Grace_resident_GB,resident_bytes,max_group_bytes,group_capacity_bytes,max_die_bytes,die_capacity_bytes,slot_capacity_violations,max_slot_bytes,slot_capacity_bytes,total_capacity_bytes,initial_placement_provenance
Llama-3.1-70B,LC20K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,141.107412992,52.4288,52.8482304,0.176160768,194.13180416,,,193955643392,8804960,67108864,612971680,4697620480,0,,,,
Llama-3.1-70B,LC20K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,141.107412992,52.4288,52.8482304,0.176160768,194.13180416,,,,,,,,,,,,
Llama-3.1-70B,LC20K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,141.107412992,52.4288,52.8482304,0.176160768,194.13180416,,,,,,,,,,,,
Llama-3.1-70B,LC64K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,141.107412992,20.97152,21.0239488,0.022020096,162.153381888,144.933126144,17.198235648,,,,,,,,,,
Llama-3.1-70B,LC64K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,141.107412992,20.97152,21.0239488,0.022020096,162.153381888,,,162131361792,7561344,67108864,516533920,4697620480,0,,,,
Llama-3.1-70B,LC64K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,141.107412992,20.97152,21.0239488,0.022020096,162.153381888,,,,,,,,,,,,
Llama-3.1-70B,LC64K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,141.107412992,20.97152,21.0239488,0.022020096,162.153381888,,,,,,,,,,,,
Llama-3.1-70B,LC64K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,141.107412992,167.77216,168.1915904,0.176160768,309.47516416,144.778985472,164.52001792,,,,,,,,,,
Llama-3.1-70B,LC64K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,141.107412992,167.77216,168.1915904,0.176160768,309.47516416,,,309299003392,13970560,67108864,975035040,4697620480,0,,,,
Llama-3.1-70B,LC64K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,141.107412992,167.77216,168.1915904,0.176160768,309.47516416,,,,,,,,,,,,
Llama-3.1-70B,LC64K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,141.107412992,167.77216,168.1915904,0.176160768,309.47516416,,,,,,,,,,,,
Llama-3.1-70B,LC126K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,141.107412992,41.28768,41.3401088,0.022020096,182.469541888,144.933126144,37.514395648,,,,,,,,,,
Llama-3.1-70B,LC126K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,141.107412992,41.28768,41.3401088,0.022020096,182.469541888,,,182447521792,8311936,67108864,578430720,4697620480,0,,,,
Llama-3.1-70B,LC126K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,141.107412992,41.28768,41.3401088,0.02658496,182.474106752,,,,,,,,,,,,
Llama-3.1-70B,LC126K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,141.107412992,41.28768,41.3401088,0.02658496,182.474106752,,,,,,,,,,,,
Llama-3.1-70B,LC126K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,141.107412992,330.30144,330.7208704,0.176160768,472.00444416,144.778985472,327.04929792,,,,,,,,,,
Llama-3.1-70B,LC126K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,141.107412992,330.30144,330.7208704,0.176160768,472.00444416,,,471828283392,21328480,67108864,1487777952,4697620480,0,,,,
Llama-3.1-70B,LC126K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,141.107412992,330.30144,330.7208704,0.21267968,472.040963072,,,,,,,,,,,,
Llama-3.1-70B,LC126K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,141.107412992,330.30144,330.7208704,0.21267968,472.040963072,,,,,,,,,,,,
Llama-3.1-405B,LC20K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,811.7067776,10.32192,10.40449536,0.040894464,822.152167424,144.914251776,677.197021184,,,,,,,,,,
Llama-3.1-405B,LC20K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,811.7067776,10.32192,10.40449536,0.040894464,822.152167424,,,822111272960,37052800,67108864,2590003360,4697620480,0,,,,
Llama-3.1-405B,LC20K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,811.7067776,10.32192,10.40449536,0.040894464,822.152167424,,,,,,,,,,,,
Llama-3.1-405B,LC20K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,811.7067776,10.32192,10.40449536,0.040894464,822.152167424,,,,,,,,,,,,
Llama-3.1-405B,LC20K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,811.7067776,82.57536,83.23596288,0.327155712,895.269896192,144.627990528,750.314749952,,,,,,,,,,
Llama-3.1-405B,LC20K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,811.7067776,82.57536,83.23596288,0.327155712,895.269896192,,,894942740480,40806240,67108864,2836754688,4697620480,0,,,,
Llama-3.1-405B,LC20K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,811.7067776,82.57536,83.23596288,0.327155712,895.269896192,,,,,,,,,,,,
Llama-3.1-405B,LC20K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,811.7067776,82.57536,83.23596288,0.327155712,895.269896192,,,,,,,,,,,,
Llama-3.1-405B,LC64K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,811.7067776,33.030144,33.11271936,0.040894464,844.860391424,144.914251776,699.905245184,,,,,,,,,,
Llama-3.1-405B,LC64K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,811.7067776,33.030144,33.11271936,0.040894464,844.860391424,,,844819496960,38587776,67108864,2671819520,4697620480,0,,,,
Llama-3.1-405B,LC64K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,811.7067776,33.030144,33.11271936,0.040894464,844.860391424,,,,,,,,,,,,
Llama-3.1-405B,LC64K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,811.7067776,33.030144,33.11271936,0.040894464,844.860391424,,,,,,,,,,,,
Llama-3.1-405B,LC64K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,811.7067776,264.241152,264.90175488,0.327155712,1076.935688192,144.627990528,931.980541952,,,,,,,,,,
