model,context_label,H,P,G,B,path,E2E_time_s,total_average_power_W,GPU_power_W,memory_power_W,NMP_power_W,mapped_package_power_W,excluded_external_power_W,thermal_operator_reused,thermal_convention,physical_signature,Tmax_C,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status,power_columns,thermal_boundary,hotspot_coordinate_units
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,0.9548558599480267,352.50576568290035,153.69329718466403,198.81246849823626,140.80735515151312,352.50576568289256,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,65.63313659674026,gpu/FEOL,0.010195348000000003,0.0002500000000000002,0.00037179,,7.178510099998675,2130,0.0006212622532086993,0.009886647934034425,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_CPA,0.8823996709145726,336.36440181155456,160.2371262406364,176.12727557091813,115.97039694351257,336.36440181154654,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,64.0064571696858,gpu/FEOL,0.01595,0.0037500000000000016,0.00037179,,7.293501700041816,2160,0.0005600913831752659,0.008857521515990318,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC64K,64000,512,512,8,HBM_GPU,13.154808775739697,435.31564888079805,383.6517686984568,51.663880182341245,0.0,435.3156488807969,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,85.09775747286966,gpu/FEOL,-0.012258,0.0002479166666666671,0.00037179,,0.9764161999919452,910,0.00010258144099249807,0.008560777215407957,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_GPU,12.781713918589404,416.50783719709483,392.69042213294364,23.817415064151152,0.0,416.5078371970768,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.17301231741419,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.681516500015277,2290,0.000574780914403994,0.00816296767837781,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,5.460202848145017,401.34945197972763,185.4912598402205,215.85819213950717,165.40938816366355,401.34945197971837,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,72.2907931014048,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.442332900012843,2210,0.0005540106884350439,0.008464778268597347,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_CPA,4.831571997884912,398.2167415030645,199.99727268668323,198.21946881638132,145.34430458698304,398.2167415030548,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,72.66141289752164,gpu/FEOL,0.01595,-0.00375,0.00037179,,7.351390000025276,2190,0.0005975285518063506,0.009946173737091666,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC126K,126000,512,512,1,HBM_GPU,4.969202041251068,435.10037127510515,382.9672795760527,52.13309169905244,0.0,435.100371275104,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,85.05950504931883,gpu/FEOL,0.012258,-0.0002479166666666671,0.00037179,,0.969267199980095,910,0.00010247289812768627,0.008482483481044798,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_GPU,4.826913188068232,416.1149577962443,392.07508785206835,24.03986994417594,0.0,416.11495779622646,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.09818058325936,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.695153600012418,2290,0.0005737646867873158,0.00815841258804837,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_NMP_UNIFORM,1.0976733219401917,375.142939990698,162.64418531915283,212.49875467154513,150.9393453328456,375.1429399906898,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,68.54890574531566,gpu/FEOL,0.010595348000000001,0.0012500000000000011,0.00037179,,7.3991188000072725,2160,0.0006138685365595961,0.009973811070978115,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_NMP_CPA,1.0428418193933673,358.3175446586589,167.30500135347307,191.01254330518572,127.88841619376004,358.3175446586506,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,66.76415306598005,gpu/FEOL,0.010595348000000001,-0.0012500000000000011,0.00037179,,7.292180799995549,2160,0.0005942472116804483,0.009482859604934753,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
