model,context_label,H,P,G,B,path,status,workspace_GB,peak_state_GB,external_capacity_mode,external_resident_required_GB,local_capacity_GB
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,EVALUATED,0.704643072,312.268570624,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_CPA,EVALUATED,0.704643072,312.268570624,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC126K,126000,512,512,1,HBM_GPU,EVALUATED,0.088080384,182.818717696,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,37.863571456,144.95514624
Llama-3.1-70B,LC126K,126000,512,512,1,M3D_GPU,EVALUATED,0.088080384,182.818717696,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC126K,126000,512,512,1,M3D_NMP_UNIFORM,EVALUATED,0.088080384,182.818717696,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC126K,126000,512,512,1,M3D_NMP_CPA,EVALUATED,0.088080384,182.818717696,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC126K,126000,512,512,8,HBM_GPU,EVALUATED,0.704643072,474.797850624,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,329.842704384,144.95514624
Llama-3.1-70B,LC126K,126000,512,512,8,M3D_GPU,EVALUATED,0.704643072,474.797850624,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC126K,126000,512,512,8,M3D_NMP_UNIFORM,EVALUATED,0.704643072,474.797850624,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC126K,126000,512,512,8,M3D_NMP_CPA,EVALUATED,0.704643072,474.797850624,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC20K,20000,512,256,1,HBM_GPU,EVALUATED,0.163577856,822.588637184,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,677.633490944,144.95514624
Llama-3.1-405B,LC20K,20000,512,256,1,M3D_GPU,EVALUATED,0.163577856,822.588637184,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,EVALUATED,0.163577856,822.588637184,NOT_APPLICABLE,0,1493.84331264
