iteration_index,metric,value
0,relative_residual,0.07176357629744605
1,relative_residual,0.12881469450827526
2,relative_residual,0.25258320439531345
3,relative_residual,0.2613868408805917
4,relative_residual,0.17923415861932177
5,relative_residual,0.12905306893572463
6,relative_residual,0.1339090151691019
7,relative_residual,0.1322126383472311
8,relative_residual,0.16397625677528188
9,relative_residual,0.09402330035553866
10,relative_residual,0.052868195618118244
11,relative_residual,0.09169939872532898
12,relative_residual,0.09337616066134274
13,relative_residual,0.10648437839313109
14,relative_residual,0.09634528034943043
15,relative_residual,0.05983247646008303
16,relative_residual,0.051740974336539576
17,relative_residual,0.04293126630031462
18,relative_residual,0.04494516715855629
19,relative_residual,0.03419160960929672
20,relative_residual,0.020167043945534938
21,relative_residual,0.023029777192974454
22,relative_residual,0.027206366316308996
23,relative_residual,0.04704922130490599
24,relative_residual,0.042632030844524785
25,relative_residual,0.036434227764791764
26,relative_residual,0.05128037736026236
27,relative_residual,0.052378164522985826
28,relative_residual,0.04328806065805829
29,relative_residual,0.04295637736326613
30,relative_residual,0.0477637377521454
31,relative_residual,0.05301232485296934
32,relative_residual,0.04319673834569977
33,relative_residual,0.0428327887641341
34,relative_residual,0.03375436581390396
35,relative_residual,0.03281808651902937
36,relative_residual,0.03038872305516669
37,relative_residual,0.026788612333206178
38,relative_residual,0.027730723037827833
39,relative_residual,0.02695912161864256
40,relative_residual,0.027167414077289495
41,relative_residual,0.02637392871176894
42,relative_residual,0.026685922308810995
43,relative_residual,0.028134694053899456
44,relative_residual,0.023138840823901087
45,relative_residual,0.024738139592216928
46,relative_residual,0.0215808923260651
47,relative_residual,0.017288406717823224
48,relative_residual,0.013558222278869471
49,relative_residual,0.013176679008375622
50,relative_residual,0.011569581253438885
51,relative_residual,0.009793497422515434
52,relative_residual,0.009368293156569348
53,relative_residual,0.009227664425359515
54,relative_residual,0.008809666096727939
55,relative_residual,0.008262786999100508
56,relative_residual,0.007128562379193363
57,relative_residual,0.007093011473020793
58,relative_residual,0.006725488657094526
59,relative_residual,0.006811980753202689
60,relative_residual,0.006974111497384451
61,relative_residual,0.0064120149058402975
62,relative_residual,0.0065727334864528544
63,relative_residual,0.0060139471519455425
64,relative_residual,0.005633631939481999
65,relative_residual,0.0050997405237739
66,relative_residual,0.004901703618830274
67,relative_residual,0.004412941672433883
68,relative_residual,0.004180920091827956
69,relative_residual,0.003846717624860695
70,relative_residual,0.003669063423498381
71,relative_residual,0.003331051697701718
72,relative_residual,0.0032448912151366543
73,relative_residual,0.002463864328993948
74,relative_residual,0.0020656587671098302
75,relative_residual,0.0019532976662917263
76,relative_residual,0.0016150379468672967
77,relative_residual,0.0015790082839302606
78,relative_residual,0.0015634152390875927
79,relative_residual,0.001371616805570785
80,relative_residual,0.0011349876662039788
81,relative_residual,0.0009872940775056494
82,relative_residual,0.0008806930593697065
83,relative_residual,0.0007373349105725585
84,relative_residual,0.0006424660723261429
85,relative_residual,0.0005451040563740038
86,relative_residual,0.0004745970757685218
87,relative_residual,0.0004484829648706385
88,relative_residual,0.0004080165891191881
89,relative_residual,0.00033479163538811346
90,relative_residual,0.0003279611926135659
91,relative_residual,0.00026808415745143864
92,relative_residual,0.00023667638464734724
93,relative_residual,0.0001912227942061788
94,relative_residual,0.0001664851509347897
95,relative_residual,0.00014456094344670036
96,relative_residual,0.00014172597395951193
97,relative_residual,0.0001160058469797837
98,relative_residual,0.0001068161447951017
99,relative_residual,9.934989328702873e-05
100,relative_residual,9.940552181486053e-05
101,relative_residual,8.841863545343821e-05
102,relative_residual,8.803495369415662e-05
103,relative_residual,7.903043520387815e-05
104,relative_residual,6.794122768817687e-05
105,relative_residual,6.367956318452886e-05
106,relative_residual,5.685235580193551e-05
107,relative_residual,4.5722475199801635e-05
108,relative_residual,3.989506957434878e-05
109,relative_residual,3.239970466092202e-05
110,relative_residual,2.8396185655778122e-05
111,relative_residual,2.75043241632936e-05
112,relative_residual,2.7731067586755e-05
113,relative_residual,2.6461506005701623e-05
114,relative_residual,2.7154638584179575e-05
115,relative_residual,3.2556579061708277e-05
116,relative_residual,3.841316499377411e-05
117,relative_residual,3.8017809377992646e-05
118,relative_residual,3.974431611645007e-05
119,relative_residual,4.050195573214288e-05
120,relative_residual,4.1151512574003003e-05
121,relative_residual,4.5092492426825066e-05
122,relative_residual,4.4962059788930325e-05
123,relative_residual,4.0501228512035585e-05
124,relative_residual,3.77275166415268e-05
125,relative_residual,3.220141490871203e-05
126,relative_residual,2.4646567116234904e-05
127,relative_residual,1.9279460156098433e-05
128,relative_residual,1.6510980251008195e-05
129,relative_residual,1.3913388283438229e-05
130,relative_residual,1.0944778883725493e-05
131,relative_residual,9.468910629399347e-06
132,relative_residual,8.223210529080349e-06
133,relative_residual,7.314096700381214e-06
134,relative_residual,6.413758704331392e-06
135,relative_residual,6.4103388862728286e-06
136,relative_residual,7.150513386539263e-06
137,relative_residual,7.236889218042719e-06
138,relative_residual,7.193438808895599e-06
139,relative_residual,6.2016148665363425e-06
140,relative_residual,6.724486708857156e-06
141,relative_residual,6.458786268590179e-06
