iteration_index,metric,value
0,relative_residual,0.07176944599018571
1,relative_residual,0.1289850512348313
2,relative_residual,0.25622235043019986
3,relative_residual,0.26114210538952687
4,relative_residual,0.1776747418102615
5,relative_residual,0.13315215410144018
6,relative_residual,0.1323793089041754
7,relative_residual,0.13115317043178973
8,relative_residual,0.16437302979141769
9,relative_residual,0.094687278664395
10,relative_residual,0.051613721078024706
11,relative_residual,0.09089901548577888
12,relative_residual,0.09533244732430302
13,relative_residual,0.10512066098392049
14,relative_residual,0.09571950278346494
15,relative_residual,0.06212764298413231
16,relative_residual,0.05403968884487381
17,relative_residual,0.04316031734186851
18,relative_residual,0.043990340638817266
19,relative_residual,0.03442088749428348
20,relative_residual,0.020975530518601033
21,relative_residual,0.02307479202489116
22,relative_residual,0.026464877051336374
23,relative_residual,0.046003078070466066
24,relative_residual,0.04416700700822444
25,relative_residual,0.035953928399539335
26,relative_residual,0.050900955247059926
27,relative_residual,0.05474829769333494
28,relative_residual,0.0419131615987875
29,relative_residual,0.04519346935395738
30,relative_residual,0.04775580592919317
31,relative_residual,0.053385402788720414
32,relative_residual,0.04424642269450538
33,relative_residual,0.04238710340176202
34,relative_residual,0.03309349440770954
35,relative_residual,0.03257794176803995
36,relative_residual,0.030934902862595606
37,relative_residual,0.027915424916102143
38,relative_residual,0.02794202963213049
39,relative_residual,0.02740466352532719
40,relative_residual,0.028507195116928657
41,relative_residual,0.02749861699248003
42,relative_residual,0.02810755029871979
43,relative_residual,0.030025562240610502
44,relative_residual,0.022853258475083005
45,relative_residual,0.024810050109465
46,relative_residual,0.022772776329559912
47,relative_residual,0.017961950891709953
48,relative_residual,0.013669593159831052
49,relative_residual,0.012687572020688534
50,relative_residual,0.012376371593487518
51,relative_residual,0.010141000355550545
52,relative_residual,0.010143896796148424
53,relative_residual,0.009596411773389388
54,relative_residual,0.008395840905836515
55,relative_residual,0.008604375279442274
56,relative_residual,0.007660170719868908
57,relative_residual,0.007749954112586112
58,relative_residual,0.006707427506428631
59,relative_residual,0.00696728352514638
60,relative_residual,0.007194907131598498
61,relative_residual,0.006542060877987993
62,relative_residual,0.006504543288434517
63,relative_residual,0.006391563524312626
64,relative_residual,0.005993177090216685
65,relative_residual,0.00540171212261366
66,relative_residual,0.005322205483966221
67,relative_residual,0.00468454078051462
68,relative_residual,0.004490635584963058
69,relative_residual,0.003802798994756251
70,relative_residual,0.0039006275583776924
71,relative_residual,0.0034886478891281345
72,relative_residual,0.003041921184334013
73,relative_residual,0.002670414843766621
74,relative_residual,0.0021788155058136242
75,relative_residual,0.002071957357282769
76,relative_residual,0.0017506353183168125
77,relative_residual,0.001626532388176116
78,relative_residual,0.0016315347572075068
79,relative_residual,0.0014650243802133654
80,relative_residual,0.0011237188813313225
81,relative_residual,0.0009995586840184393
82,relative_residual,0.0009461873303638541
83,relative_residual,0.0007679858367827874
84,relative_residual,0.0007068704929817961
85,relative_residual,0.0005898684636150786
86,relative_residual,0.0005227842649481253
87,relative_residual,0.00046101014836972724
88,relative_residual,0.0004405624573607543
89,relative_residual,0.00033819846239202165
90,relative_residual,0.0003152529740696909
91,relative_residual,0.00028095063158122165
92,relative_residual,0.00025960380270442394
93,relative_residual,0.00020448697808157662
94,relative_residual,0.00018463897521209217
95,relative_residual,0.0001509496815620593
96,relative_residual,0.00014783810316335212
97,relative_residual,0.00012251962835382323
98,relative_residual,0.00010574452377346767
99,relative_residual,9.770416872373935e-05
100,relative_residual,9.990435199946752e-05
101,relative_residual,9.565920910668226e-05
102,relative_residual,9.21588474276582e-05
103,relative_residual,8.941817014058591e-05
104,relative_residual,7.505512233844353e-05
105,relative_residual,6.820548886855504e-05
106,relative_residual,6.3566168055368e-05
107,relative_residual,5.198129356230561e-05
108,relative_residual,4.6269509755003474e-05
109,relative_residual,3.9559881522940654e-05
110,relative_residual,3.6558378723553526e-05
111,relative_residual,3.508202282587554e-05
112,relative_residual,3.519146565907699e-05
113,relative_residual,3.360945033940683e-05
114,relative_residual,3.368863970466825e-05
115,relative_residual,4.180832633937226e-05
116,relative_residual,4.721374092733642e-05
117,relative_residual,5.003700951002956e-05
118,relative_residual,5.286986561053346e-05
119,relative_residual,5.470297769722135e-05
120,relative_residual,5.479276975695682e-05
121,relative_residual,6.090218240498274e-05
122,relative_residual,5.506457842943196e-05
123,relative_residual,4.747685775948793e-05
124,relative_residual,4.2636419426589336e-05
125,relative_residual,3.5081530172566315e-05
126,relative_residual,2.8935154703350905e-05
127,relative_residual,2.4036291183354567e-05
128,relative_residual,2.0992501743936453e-05
129,relative_residual,1.6641147031619636e-05
130,relative_residual,1.3815137953061032e-05
131,relative_residual,1.2572881017506778e-05
132,relative_residual,1.065998424849684e-05
133,relative_residual,9.424341212430323e-06
134,relative_residual,8.180012193789169e-06
135,relative_residual,7.706159686667464e-06
136,relative_residual,8.05447505274565e-06
137,relative_residual,7.82497144784969e-06
138,relative_residual,7.521434592906441e-06
139,relative_residual,6.420264056006875e-06
140,relative_residual,6.719621543642492e-06
141,relative_residual,6.465126847854928e-06
142,relative_residual,5.946057606985405e-06
143,relative_residual,5.44374208661914e-06
144,relative_residual,5.4408965161536614e-06
145,relative_residual,5.191927130408669e-06
