operator,stage_count,total_s,ARRAY,LOCAL_FABRIC,MAC,INTER_REGION_NOC,EXTERNAL_BOUNDARY,core_resources,physical_core_resources,largest_stage_component_counts
ATTENTION_AV,8192,0.27479707407058895,0.007213894643411842,0.021604392613693835,0.036700160000004575,0.13441433599998454,0.10368257807058846,MAC,MAC,"{""NOC"": 8192}"
ATTENTION_QK,8192,0.12039681337402502,0.007213894279582894,0.04996182389638425,0.017250880000000135,0.016965631999997528,0.053469357477647333,LOCAL_FABRIC,FABRIC,"{""BOUNDARY"": 8192}"
