system,weight_read_GB_per_token,KV_read_GB_per_token,boundary_GB_per_token,internal_NMP_GB_per_token,D_int_bytes_per_token,GPU_to_NMP_activation_bytes_per_token,NMP_to_GPU_activation_excluding_partial_bytes_per_token,partial_reduction_boundary_bytes_per_token,other_boundary_bytes_per_token,NoC_hop_bytes_per_token,accounting
M3D_GPU,1.8761728,0.345964544,2.222268416,0.0,0.0,0.0,0.0,0.0,2222268416.0,0.0,Directional activation columns are disjoint; partial is AV slab partial output; NoC hop bytes are not external D_int
M3D_NMP_FULL_CPA,1.8761728,0.345964544,1.058587136,2.222137344,1058456064.0,883309568.0,8422912.0,166723584.0,131072.0,1721073664.0,Directional activation columns are disjoint; partial is AV slab partial output; NoC hop bytes are not external D_int
M3D_ATTENTION_NMP,1.8761728,0.345964544,2.13720064,0.345964544,260896768.0,88767488.0,5405696.0,166723584.0,1876303872.0,750256128.0,Directional activation columns are disjoint; partial is AV slab partial output; NoC hop bytes are not external D_int
