system,E2E_s,Decode_s,E2E_tok_s,speedup_vs_M3D_GPU,speedup_vs_full_MAC_CPA,J_per_token,tokens_per_J,prefill_s
M3D_GPU,1.4288645843899812,1.3402520031310097,1433.3058726305708,1.0,1.1516222144743602,0.2918336778769192,3.426609318276658,0.08861258125897142
M3D_NMP_FULL_CPA,1.6455121968591766,1.556899615600205,1244.59727731527,0.8683403180585867,1.0,0.3146541263821507,3.1780927569514525,0.08861258125897142
M3D_ATTENTION_NMP,1.694183196003308,1.6055706147443367,1208.842116266629,0.8433943789318469,0.9712717023407212,0.3431253686273129,2.9143866686410886,0.08861258125897142
