system,gpu_compute_s,gpu_memory_s,nmp_array_s,nmp_fabric_s,nmp_mac_s,nmp_noc_s,nmp_reduction_s,boundary_transfer_s,total_decode_s,accounting,nmp_noc_plus_reduction_s,gpu_segment_wall_s,gpu_local_s,nmp_core_wall_s,dominant_resource,split_provenance
M3D_GPU,0.03392948204337544,1.3402520031310097,0,0,0,0,0,1.3402520031310097,1.3402520031310097,"GPU=max(compute,memory); boundary overlaps GPU memory",,,,,GPU_MEMORY,
M3D_NMP_FULL_CPA,0,0.07877623978666654,0.3443621422163478,0.5246951939579301,0.48203219199999925,0.2606174719999995,0.0,0.6384657525736529,1.556899615600205,Frozen checkpoint component sums; ARRAY includes KV append; GPU_COMPUTE field was small-op memory service,0.2606174719999995,,,,BOUNDARY,REUSE_IDENTICAL_DETERMINISTIC_QK_AV_CPA_TRACE_AND_PROBE_REDUCTION; ALL_OTHER_NMP_OPERATORS_HAVE_ZERO_LOCAL_REDUCTION
M3D_ATTENTION_NMP,0.031065266232917554,1.2103767272997246,0.014427788922996194,0.07156621651006861,0.053951039999999915,0.15137996800000034,0.0,0.1571519355482352,1.6055706147443367,"GPU dependency segments + physical NMP; max(array,fabric,MAC) within NMP core",,1.2103767272997246,0.0787762397866667,0.08666198389637718,GPU_MEMORY,
