path,path_label,order,operator,display_operator,executor,start_us,end_us,duration_us,dominant_resource,dominant_category,timeline_semantics
M3D_GPU,M3D-GPU,0,Q,Q,GPU,0.0,15.439382134544926,15.439382134544923,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,1,K,K,GPU,15.439382134544926,25.680152127326156,10.240769992781232,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,2,V,V,GPU,25.680152127326156,35.920922120107385,10.240769992781232,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,3,ATTENTION_QK,QK,GPU,36.29662885922009,345.70184683550036,309.40521797628026,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,4,SOFTMAX,S,GPU,345.70184683550036,362.8026468355003,17.1008,GPU_COMPUTE,GPU,exact
M3D_GPU,M3D-GPU,5,ATTENTION_AV,AV,GPU,362.8026468355003,672.2078648117806,309.40521797628026,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,6,O,O,GPU,672.2078648117806,687.6472469463256,15.439382134544923,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,7,FFN_GATE,G,GPU,687.7496469463256,771.1223104728682,83.3726635265426,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,8,FFN_UP,U,GPU,771.1223104728682,854.4949739994107,83.3726635265426,EXTERNAL_BOUNDARY,Boundary,exact
M3D_GPU,M3D-GPU,9,FFN_DOWN,D,GPU,854.7714539994108,938.1441175259534,83.3726635265426,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_UNIFORM,DNS,0,Q,Q,NMP,0.0,22.46167428356531,22.46167428356531,LOCAL_FABRIC,Fabric,exact
M3D_NMP_UNIFORM,DNS,1,K,K,NMP,22.46167428356531,35.90932322295978,13.447648939394464,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_UNIFORM,DNS,2,V,V,NMP,35.90932322295978,49.35433423751144,13.44501101455166,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_UNIFORM,DNS,3,ATTENTION_QK,QK,NMP,49.55545881131289,95.96089662161339,46.405437810300505,LOCAL_FABRIC,Fabric,exact
M3D_NMP_UNIFORM,DNS,4,SOFTMAX,S,GPU,95.96089662161339,113.0616966216134,17.1008,GPU_COMPUTE,GPU,exact
M3D_NMP_UNIFORM,DNS,5,ATTENTION_AV,AV,NMP,113.0616966216134,231.13006384367858,118.0683672220652,INTER_REGION_NOC,NoC,exact
M3D_NMP_UNIFORM,DNS,6,AV_REDUCTION,R,GPU,231.13006384367858,242.00153051034528,10.871466666666667,GPU_COMPUTE,GPU,exact
M3D_NMP_UNIFORM,DNS,7,O,O,NMP,242.00153051034528,264.4399177684182,22.438387258072904,LOCAL_FABRIC,Fabric,exact
M3D_NMP_UNIFORM,DNS,8,FFN_GATE,G,NMP,264.5423177684182,290.3027108728363,25.76039310441815,LOCAL_FABRIC,Fabric,exact
M3D_NMP_UNIFORM,DNS,9,FFN_UP,U,NMP,290.3027108728363,316.2233539772545,25.92064310441815,LOCAL_FABRIC,Fabric,exact
M3D_NMP_UNIFORM,DNS,10,FFN_DOWN,D,NMP,316.49983397725447,439.1731643392511,122.67333036199666,LOCAL_FABRIC,Fabric,exact
M3D_NMP_CPA,CPA,0,Q,Q,NMP,0.0,17.961023529411758,17.96102352941176,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_CPA,CPA,1,K,K,NMP,17.961023529411758,31.408672468806227,13.447648939394464,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_CPA,CPA,2,V,V,NMP,31.408672468806227,44.85368348335789,13.44501101455166,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_CPA,CPA,3,ATTENTION_QK,QK,NMP,45.05480805715934,90.09089041010053,45.03608235294118,MAC,MAC,exact
M3D_NMP_CPA,CPA,4,SOFTMAX,S,GPU,90.09089041010053,107.19169041010052,17.1008,GPU_COMPUTE,GPU,exact
M3D_NMP_CPA,CPA,5,ATTENTION_AV,AV,NMP,107.19169041010052,206.7307021748064,99.53901176470588,INTER_REGION_NOC,NoC,exact
M3D_NMP_CPA,CPA,6,AV_REDUCTION,R,GPU,206.7307021748064,217.60216884147306,10.871466666666667,GPU_COMPUTE,GPU,exact
M3D_NMP_CPA,CPA,7,O,O,NMP,217.60216884147306,235.54019237088482,17.938023529411765,EXTERNAL_BOUNDARY,Boundary,exact
M3D_NMP_CPA,CPA,8,FFN_GATE,G,NMP,235.64259237088484,259.9654357834981,24.322843412613263,LOCAL_FABRIC,Fabric,exact
M3D_NMP_CPA,CPA,9,FFN_UP,U,NMP,259.9654357834981,284.44280454742074,24.47736876392262,LOCAL_FABRIC,Fabric,exact
M3D_NMP_CPA,CPA,10,FFN_DOWN,D,NMP,284.7192845474207,385.7831485373726,101.06386398995191,LOCAL_FABRIC,Fabric,exact
