path,path_label,layer_latency_us,relative_to_M3D_GPU,relative_to_DNS,timeline_semantics
M3D_GPU,M3D-GPU,938.1441175259534,1.0,0.46812974268540525,exact
M3D_NMP_UNIFORM,DNS,439.1731643392511,2.1361599334909696,1.0,exact
M3D_NMP_CPA,CPA,385.7831485373726,2.4317913342839312,1.138393851582935,exact
