model,context,H,batch,reference_tokens_per_s,old_tokens_per_s,new_tokens_per_s,old_throughput_drop_pct,new_throughput_drop_pct,old_achieved_BW_TBps,new_achieved_BW_TBps,old_utilization_pct,new_utilization_pct,old_bottleneck,new_bottleneck,prefill_s,new_decode_s,utilization_improvement_pp,TPS_gain_pct
Llama-3.1-8B,LC20K,20000,1,186.2416435670891,133.32136169622925,171.38374894809758,28.4148490408895,7.97775101981385,2.4366582781949946,3.162579446136822,71.75540597601852,93.13253898575562,BOUNDARY,BOUNDARY,0.007534455987532261,0.17918103014465045,21.377133009737094,28.549353807676315
Llama-3.1-8B,LC20K,20000,8,680.2861147935259,573.1706218275107,650.8477629023718,15.74565328274059,4.327348633315708,2.8482159948074677,3.277799625652121,83.87507466422178,96.52557560140876,BOUNDARY,BOUNDARY,0.03582014708589715,0.3575130017573914,12.650500937186976,13.552184657893562
Llama-3.1-8B,LC64K,64000,1,139.51650425891285,107.64697395244428,131.16839439379135,22.842838899780283,5.983600226700913,2.6188284432025206,3.2169996043013898,77.12000480541056,94.73511928079407,BOUNDARY,BOUNDARY,0.009232787797221143,0.23472842060127602,17.615114475383507,21.850517090929312
Llama-3.1-8B,LC64K,64000,8,303.01903138136817,276.82576587195143,293.73186724267305,8.64409914783566,3.0648781683308313,3.1313859170619622,3.342601093505087,92.21394306993872,98.43386765665582,BOUNDARY,BOUNDARY,0.06956631869732571,0.801976842087813,6.219924586717099,6.107127101218501
Llama-3.1-8B,LC126K,126000,1,102.6013256932336,84.00112208652637,97.66775176156396,18.12861917819635,4.808489459893018,2.7828651879119723,3.261224717090761,81.95060551661511,96.0374729800938,BOUNDARY,BOUNDARY,0.014639717791451429,0.3130016932458531,14.086867463478683,16.26957990032576
Llama-3.1-8B,LC126K,126000,8,170.09768633883738,160.15017062559164,165.66649506911622,5.848119352681913,2.605086150845193,3.2427426943479736,3.365869983815559,95.49320911796985,99.11909655632581,BOUNDARY,BOUNDARY,0.11711774233161143,1.4281554880412322,3.62588743835596,3.4444699134420276
Llama-3.1-70B,LC20K,20000,1,22.591411179105723,20.416982832914854,21.567493447243404,9.625022221727997,4.53233188376172,3.0749184176461792,3.253909053331584,90.55107208745873,95.82203923309639,BOUNDARY,BOUNDARY,0.0488248264811772,1.4348895457186206,5.2709671456376554,5.635066766445895
Llama-3.1-70B,LC20K,20000,8,122.79600100598881,113.6808892960988,118.06433297972795,7.422971135228962,3.853275340806983,3.146574384484716,3.287031213841616,92.6612173782921,96.79743003593016,BOUNDARY,BOUNDARY,0.2772353934014171,1.8910739811491177,4.136212657638069,3.8559195927926115
Llama-3.1-70B,LC64K,64000,1,20.464175758246732,18.64673966886781,19.601716897015574,8.881061767887354,4.214481303424112,3.101320762623098,3.2662026249747758,91.32857585131892,96.1840638272081,BOUNDARY,BOUNDARY,0.05574578143232,1.576764277157094,4.85548797588919,5.121416639618648
Llama-3.1-70B,LC64K,64000,8,76.63702819204136,71.99827517203846,73.72782936884933,6.052887395866713,3.796074680638706,3.2357475843243613,3.3268207135537784,95.28721512854469,97.96916253981819,BOUNDARY,BOUNDARY,0.44596625145856,3.0262640066610733,2.681947411273498,2.4022161540371956
Llama-3.1-70B,LC126K,126000,1,17.928414250244085,16.446094355995715,17.184504327541383,8.267992213690556,4.149334750520806,3.131916303821171,3.280304902067459,92.22956205006896,96.59935169380276,BOUNDARY,BOUNDARY,0.08546542120374857,1.77667732030751,4.369789643733796,4.489880427303206
Llama-3.1-70B,LC126K,126000,8,50.10014519632013,47.47153706990882,48.21733061431644,5.246707601566747,3.7581020466622928,3.2893150048993895,3.350365640422101,96.8646837645229,98.66252024255019,BOUNDARY,BOUNDARY,0.6837233696299886,4.625570959575159,1.7978364780272926,1.5710330662125571
Llama-3.1-405B,LC20K,20000,1,4.023802208432744,3.7975178754604344,3.920245488841341,5.623644534467475,2.573603627295029,3.2084058083111984,3.3154593261625322,94.48204673234954,97.63458917267639,BOUNDARY,BOUNDARY,0.25933522914068524,7.903418886917962,3.1525424403268403,3.2317850081489574
Llama-3.1-405B,LC20K,20000,8,26.093988916452968,24.76836346438844,25.41708670092228,5.080194738753363,2.5940925233699397,3.2229491571491313,3.32189305723625,94.91032340514167,97.82405151512562,BOUNDARY,BOUNDARY,1.4175221272693028,8.654442571608277,2.91372810998395,2.619160678365229
Llama-3.1-405B,LC64K,64000,1,3.9151612938357214,3.692524697153702,3.8084564538279264,5.686524257188397,2.7254264128478645,3.2131954607412663,3.3175794504902725,94.6230937793151,97.69702319685531,BOUNDARY,BOUNDARY,0.26602241211555167,8.136331766789764,3.0739294175402136,3.139633886906368
Llama-3.1-405B,LC64K,64000,8,21.2375704564132,20.109068700919273,20.53407025328275,5.313704586925327,3.312526753350975,3.2509807510208932,3.3340830477943193,95.73580575382503,98.18302582398358,BOUNDARY,BOUNDARY,1.9490243301493027,10.518060706684722,2.4472200701585507,2.113482024873914
Llama-3.1-405B,LC126K,126000,1,3.7382591867687194,3.529836416428735,3.6356317906626647,5.5753964593381,2.7453258583379214,3.219543475137871,3.3203840294404436,94.8100319126784,97.77961323541847,BOUNDARY,BOUNDARY,0.33724490654866285,8.464526516559996,2.969581322740069,2.997174989229867
Llama-3.1-405B,LC126K,126000,8,16.825176593389923,15.895607238559375,16.159997715861294,5.524871312172419,3.95347337863875,3.2778752538244054,3.3457991013535726,96.52780272133526,98.52804350130998,BOUNDARY,BOUNDARY,2.697959252389303,13.143627145159005,2.0002407799747175,1.6632927156162047
